,authors,author_full_name,title,journal,language,document_type,keywords,year,vol,issue,doi,authors_l,authors_full_l,title_l,journal_l,keywords_l
19,"Munoz, RR; Castro, ARS; Gonzalez, JLL","Rodriguez Munoz, Raul; Socorro Castro, Alejandro Rafael; Leon Gonzalez, Jorge Luis",STRATEGIES FOR THE INDEXATION OF ACADEMIC JOURNALS IN APPLIED SCIENCES,REVISTA UNIVERSIDAD Y SOCIEDAD,Spanish,Article,Indexed journals; universities; strategies; scientific article,2019,11,5,,"rr munoz, ars castro, jll gonzalez","raul rodriguez munoz, alejandro rafael socorro castro, jorge luis leon gonzalez",strategies for indexation academic journals in applied sciences,revista universidad y sociedad,"indexed journals, scientific article, strategies, universities"
20,"Meseguer-Martinez, A; Ros-Galvez, A; Rosa-Garcia, A","Meseguer-Martinez, Angel; Ros-Galvez, Alejandro; Rosa-Garcia, Alfonso",Linking YouTube and university rankings: Research performance as predictor of online video impact,TELEMATICS AND INFORMATICS,English,Article,Online video; Academic research; World-class universities; H-index; Rankings,2019,43,0,10.1016/j.tele.2019.101264,"a meseguer-martinez, a ros-galvez, a rosa-garcia","angel meseguer-martinez, alejandro ros-galvez, alfonso rosa-garcia",linking youtube university rankings research performance as predictor online video impact,telematics and informatics,"academic research, h-index, online video, rankings, world-class universities"
21,"Eldakar, MAM","Eldakar, Metwaly Ali Mohamed",Who reads international Egyptian academic articles? An altmetrics analysis of Mendeley readership categories,SCIENTOMETRICS,English,Article,Altmetrics; Mendeley; Egyptian research; Research impact; Readership analysis,2019,121,1,10.1007/s11192-019-03189-7,mam eldakar,metwaly ali mohamed eldakar,who reads international egyptian academic articles an altmetrics analysis mendeley readership categories,scientometrics,"altmetrics, egyptian research, mendeley, readership analysis, research impact"
22,"Lopez-Duarte, C; Vidal-Suarez, MM; Gonzalez-Diaz, B","Lopez-Duarte, Cristina; Vidal-Suarez, Marta M.; Gonzalez-Diaz, Belen",Cross-national distance and international business: an analysis of the most influential recent models,SCIENTOMETRICS,English,Article,Cross-national distance; Cultural distance; Psychic distance; Bibliometric analysis; Altmetrics,2019,121,1,10.1007/s11192-019-03203-y,"c lopez-duarte, mm vidal-suarez, b gonzalez-diaz","cristina lopez-duarte, marta m. vidal-suarez, belen gonzalez-diaz",cross national distance international business an analysis most influential recent models,scientometrics,"altmetrics, bibliometric analysis, cross-national distance, cultural distance, psychic distance"
23,"Erfanmanesh, M; Noorhidawati, A; Abrizah, A","Erfanmanesh, Mohammadamin; Noorhidawati, A.; Abrizah, A.",What can Bookmetrix tell us about the impact of Springer Nature's books,SCIENTOMETRICS,English,Article,Book impact assessment; Bibliometrics; Usage metrics; Altmetrics; Crossref citation; Mendeley bookmarks,2019,121,1,10.1007/s11192-019-03198-6,"m erfanmanesh, a noorhidawati, a abrizah","mohammadamin erfanmanesh, a. noorhidawati, a. abrizah",what can bookmetrix tell us about impact springer natures books,scientometrics,"altmetrics, bibliometrics, book impact assessment, crossref citation, mendeley bookmarks, usage metrics"
26,"Banshal, SK; Singh, VK; Muhuri, PK; Mayr, P","Banshal, Sumit Kumar; Singh, Vivek Kumar; Muhuri, Pranab K.; Mayr, Philipp",How much research output from India gets social media attention?,CURRENT SCIENCE,English,Article,Disciplinary variation; research output; scholarly articles; social media,2019,117,5,10.18520/cs/v117/i5/753-760,"sk banshal, vk singh, pk muhuri, p mayr","sumit kumar banshal, vivek kumar singh, pranab k. muhuri, philipp mayr",how much research output from india gets social media attention,current science,"disciplinary variation, research output, scholarly articles, social media"
28,"Solanki, T; Karmakar, M; Banshal, SK; Singh, VK","Solanki, Tanu; Karmakar, Mousumi; Banshal, Sumit Kumar; Singh, Vivek Kumar",Social Media Coverage of Research Output from 100 Most Productive Institutions in India,JOURNAL OF SCIENTOMETRIC RESEARCH,English,Article,Altmetrics; Research Performance; Scientometrics; Social Media; Scholarly Publishing; Science and Society,2019,8,3,10.5530/jscires.8.3.30,"t solanki, m karmakar, sk banshal, vk singh","tanu solanki, mousumi karmakar, sumit kumar banshal, vivek kumar singh",social media coverage research output from 100 most productive institutions in india,journal of scientometric research,"altmetrics, research performance, scholarly publishing, science and society, scientometrics, social media"
29,"Meseguer-Martinez, A; Ros-Galvez, A; Rosa-Garcia, A; Catalan-Alarcon, JA","Meseguer-Martinez, Angel; Ros-Galvez, Alejandro; Rosa-Garcia, Alfonso; Catalan-Alarcon, Jose Antonio",Online video impact of world class universities,ELECTRONIC MARKETS,English,Article,Online video; World class universities; Impact; H-index; Altmetrics; Rankings,2019,29,3,10.1007/s12525-018-0315-4,"a meseguer-martinez, a ros-galvez, a rosa-garcia, ja catalan-alarcon","angel meseguer-martinez, alejandro ros-galvez, alfonso rosa-garcia, jose antonio catalan-alarcon",online video impact world class universities,electronic markets,"altmetrics, h-index, impact, online video, rankings, world class universities"
30,"Hassona, Y; Qutachi, T; Dardas, L; Alrashdan, MS; Sawair, F","Hassona, Yazan; Qutachi, Tala; Dardas, Latefa; Alrashdan, Mohammad S.; Sawair, Faleh",The online attention to oral cancer research: An Altmetric analysis,ORAL DISEASES,English,Article,Altmetrics; cancer; citation; mouth; online attention; oral; public engagement; research dissemination; social media,2019,25,6,10.1111/odi.13111,"y hassona, t qutachi, l dardas, ms alrashdan, f sawair","yazan hassona, tala qutachi, latefa dardas, mohammad s. alrashdan, faleh sawair",online attention to oral cancer research an altmetric analysis,oral diseases,"altmetrics, cancer, citation, mouth, online attention, oral, public engagement, research dissemination, social media"
31,"Goyal, DKC; Galetta, MS; Fang, TL; Mangan, J; Lendner, M; Vaccaro, AR; Kepler, CK; Schroeder, GD; Sharan, AD","Goyal, Dhruv K. C.; Galetta, Matthew S.; Fang, Taolin; Mangan, John; Lendner, Mayan; Vaccaro, Alexander R.; Kepler, Christopher K.; Schroeder, Gregory D.; Sharan, Alok D.",The impact of social media in orthopaedics,CURRENT ORTHOPAEDIC PRACTICE,English,Article,social media; altmetrics; orthopaedics; facebook; twitter; citation-based metrics; impact factor; h-index; physician rating websites,2019,30,5,10.1097/bco.0000000000000788,"dkc goyal, ms galetta, tl fang, j mangan, m lendner, ar vaccaro, ck kepler, gd schroeder, ad sharan","dhruv k. c. goyal, matthew s. galetta, taolin fang, john mangan, mayan lendner, alexander r. vaccaro, christopher k. kepler, gregory d. schroeder, alok d. sharan",impact social media in orthopaedics,current orthopaedic practice,"altmetrics, citation-based metrics, facebook, h-index, impact factor, orthopaedics, physician rating websites, social media, twitter"
32,"Araujo, RF; Alves, M","Araujo, Ronaldo Ferreira; Alves, Marcelo",Altmetrics of scholarly publications of Brazilian researchers: analysis of the CNPq productivity holders,REVISTA IBERO-AMERICANA DE CIENCIA DA INFORMACAO,Portuguese,Article,Altmetrics; Online Attention; Brazilian productivity holder; CNPq; Social impact,2019,12,3,10.26512/rici.v12.n3.2019.17203,"rf araujo, m alves","ronaldo ferreira araujo, marcelo alves",altmetrics scholarly publications brazilian researchers analysis cnpq productivity holders,revista ibero americana de ciencia da informacao,"altmetrics, brazilian productivity holder, cnpq, online attention, social impact"
33,"Ajmera, S; Lee, RP; Schultz, A; Hersh, DS; Lepard, J; Xu, R; Saad, H; Akinduro, O; Justo, M; Fraser, BD; Motiwala, M; Dave, P; Jimenez, B; Wallace, DA; Osikoya, O; Norrdahl, S; Dooley, JH; Khan, NR; Vaughn, BN; Maher, CO; Klimo, P","Ajmera, Sonia; Lee, Ryan P.; Schultz, Andrew; Hersh, David S.; Lepard, Jacob; Xu, Raymond; Saad, Hassan; Akinduro, Olutomi; Justo, Melissa; Fraser, Brittany D.; Motiwala, Mustafa; Dave, Pooja; Jimenez, Brian; Wallace, David A.; Osikoya, Olufemi; Norrdahl, Sebastian; Dooley, Jennings H.; Khan, Nickalus R.; Vaughn, Brandy N.; Maher, Cormac O.; Klimo, Paul, Jr.",Postgraduate publishing output in pediatric neurosurgery: correlation with fellowship site and individual scholars,JOURNAL OF NEUROSURGERY-PEDIATRICS,English,Article,bibliometrics; fellowship; top 25; h-index; r-index; ranking,2019,24,3,10.3171/2019.4.peds18717,"s ajmera, rp lee, a schultz, ds hersh, j lepard, r xu, h saad, o akinduro, m justo, bd fraser, m motiwala, p dave, b jimenez, da wallace, o osikoya, s norrdahl, jh dooley, nr khan, bn vaughn, co maher, p klimo","sonia ajmera, ryan p. lee, andrew schultz, david s. hersh, jacob lepard, raymond xu, hassan saad, olutomi akinduro, melissa justo, brittany d. fraser, mustafa motiwala, pooja dave, brian jimenez, david a. wallace, olufemi osikoya, sebastian norrdahl, jennings h. dooley, nickalus r. khan, brandy n. vaughn, cormac o. maher, paul jr. klimo",postgraduate publishing output in pediatric neurosurgery correlation with fellowship site individual scholars,journal of neurosurgery pediatrics,"bibliometrics, fellowship, h-index, r-index, ranking, top 25"
34,"Zhao, RY; Wang, X","Zhao, Rongying; Wang, Xu",Evaluation and comparison of influence in international Open Access journals between China and USA,SCIENTOMETRICS,English,Article,International OA journal; Citation indicator; Altmetrics indicator; Academic influence; Societal influence; Evaluation and comparison,2019,120,3,10.1007/s11192-019-03159-z,"ry zhao, x wang","rongying zhao, xu wang",evaluation comparison influence in international open access journals between china usa,scientometrics,"academic influence, altmetrics indicator, citation indicator, evaluation and comparison, international oa journal, societal influence"
35,"Chi, PS; Gorraiz, J; Glanzel, W","Chi, Pei-Shan; Gorraiz, Juan; Glanzel, Wolfgang","Comparing capture, usage and citation indicators: an altmetric analysis of journal papers in chemistry disciplines",SCIENTOMETRICS,English,Article,Altmetrics; PlumX metrics; WoS usage; Citations; Characteristic scores and scales,2019,120,3,10.1007/s11192-019-03168-y,"ps chi, j gorraiz, w glanzel","pei-shan chi, juan gorraiz, wolfgang glanzel",comparing capture usage citation indicators an altmetric analysis journal papers in chemistry disciplines,scientometrics,"altmetrics, characteristic scores and scales, citations, plumx metrics, wos usage"
36,"Cox, A; Gadd, E; Petersohn, S; Sbaffi, L","Cox, Andrew; Gadd, Elizabeth; Petersohn, Sabrina; Sbaffi, Laura",Competencies for bibliometrics,JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,English,Article,Altmetrics; bibliometrics; citation analysis; job analysis; professional competencies; research evaluation,2019,51,3,10.1177/0961000617728111,"a cox, e gadd, s petersohn, l sbaffi","andrew cox, elizabeth gadd, sabrina petersohn, laura sbaffi",competencies for bibliometrics,journal of librarianship and information science,"altmetrics, bibliometrics, citation analysis, job analysis, professional competencies, research evaluation"
37,"Thelwall, M","Thelwall, Mike",Do Mendeley reader counts indicate the value of arts and humanities research?,JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,English,Article,Altmetrics; arts; humanities; Mendeley; research evaluation; scientometrics,2019,51,3,10.1177/0961000617732381,m thelwall,mike thelwall,do mendeley reader counts indicate value arts humanities research,journal of librarianship and information science,"altmetrics, arts, humanities, mendeley, research evaluation, scientometrics"
38,"Aharony, N; Bar-Ilan, J; Julien, H; Benyamin-Kahana, M; Cooper, T","Aharony, Noa; Bar-Ilan, Judit; Julien, Heidi; Benyamin-Kahana, Michal; Cooper, Tzipi",Acceptance of altmetrics by LIS scholars: An exploratory study,JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,English,Article,Altmetrics; bibliometrics; survey,2019,51,3,10.1177/0961000617742461,"n aharony, j bar-ilan, h julien, m benyamin-kahana, t cooper","noa aharony, judit bar-ilan, heidi julien, michal benyamin-kahana, tzipi cooper",acceptance altmetrics by lis scholars an exploratory study,journal of librarianship and information science,"altmetrics, bibliometrics, survey"
39,"Ezema, IJ; Ugwu, CI","Ezema, Ifeanyi Jonas; Ugwu, Cyprian I.",Correlating research impact of library and information science journals using citation counts and altmetrics attention,INFORMATION DISCOVERY AND DELIVERY,English,Article,Collection development; Information science; Citation analysis; Altmetrics; Journal evaluation; Research evaluation,2019,47,3,10.1108/idd-08-2018-0029,"ij ezema, ci ugwu","ifeanyi jonas ezema, cyprian i. ugwu",correlating research impact library information science journals using citation counts altmetrics attention,information discovery and delivery,"altmetrics, citation analysis, collection development, information science, journal evaluation, research evaluation"
40,"Willighagen, LG","Willighagen, Lars G.","Citation.js: a format-independent, modular bibliography tool for the browser and command line",PEERJ COMPUTER SCIENCE,English,Article,Bibliography; Javascript,2019,0,0,10.7717/peerj-cs.214,lg willighagen,lars g. willighagen,citation js a format independent modular bibliography tool for browser command line,peerj computer science,"bibliography, javascript"
41,"Regan, A; Henchion, M","Regan, Aine; Henchion, Maeve",Making sense of altmetrics: The perceived threats and opportunities for academic identity,SCIENCE AND PUBLIC POLICY,English,Article,altmetrics; academic identity; research policy; research evaluation; research impact; social media,2019,46,4,10.1093/scipol/scz001,"a regan, m henchion","aine regan, maeve henchion",making sense altmetrics perceived threats opportunities for academic identity,science and public policy,"academic identity, altmetrics, research evaluation, research impact, research policy, social media"
42,"Azer, SA; Azer, S","Azer, Samy A.; Azer, Sarah",Top-cited articles in medical professionalism: a bibliometric analysis versus altmetric scores,BMJ OPEN,English,Article,,2019,9,7,10.1136/bmjopen-2019-029433,"sa azer, s azer","samy a. azer, sarah azer",top cited articles in medical professionalism a bibliometric analysis versus altmetric scores,bmj open,
43,"Aung, HH; Zheng, H; Erdt, M; Aw, AS; Sin, SCJ; Theng, YL","Aung, Htet Htet; Zheng, Han; Erdt, Mojisola; Aw, Ashley Sara; Sin, Sei-Ching Joanna; Theng, Yin-Leng",Investigating Familiarity and Usage of Traditional Metrics and Altmetrics,JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,English,Article,,2019,70,8,10.1002/asi.24162,"hh aung, h zheng, m erdt, as aw, scj sin, yl theng","htet htet aung, han zheng, mojisola erdt, ashley sara aw, sei-ching joanna sin, yin-leng theng",investigating familiarity usage traditional metrics altmetrics,journal of the association for information science and technology,
44,"Torres-Salinas, D; Romero-Frias, E; Arroyo-Machado, W","Torres-Salinas, Daniel; Romero-Frias, Esteban; Arroyo-Machado, Wenceslao",Mapping the backbone of the Humanities through the eyes of Wikipedia,JOURNAL OF INFORMETRICS,English,Article,Wikipedia; Scientific journals; Network analysis; Co-citation analysis; Scopus; Digital humanities,2019,13,3,10.1016/j.joi.2019.07.002,"d torres-salinas, e romero-frias, w arroyo-machado","daniel torres-salinas, esteban romero-frias, wenceslao arroyo-machado",mapping backbone humanities through eyes wikipedia,journal of informetrics,"co-citation analysis, digital humanities, network analysis, scientific journals, scopus, wikipedia"
45,"Yu, HQ; Xiao, TT; Xu, SM; Wang, YF","Yu, Houqiang; Xiao, Tingting; Xu, Shenmeng; Wang, Yuefen","Who posts scientific tweets? An investigation into the productivity, locations, and identities of scientific tweeters",JOURNAL OF INFORMETRICS,English,Article,Altmetrics; Twitter; Scholarly communication; Scientific tweeters; Geographic distribution,2019,13,3,10.1016/j.joi.2019.08.001,"hq yu, tt xiao, sm xu, yf wang","houqiang yu, tingting xiao, shenmeng xu, yuefen wang",who posts scientific tweets an investigation into productivity locations identities scientific tweeters,journal of informetrics,"altmetrics, geographic distribution, scholarly communication, scientific tweeters, twitter"
46,"Kim, Y; Kim, JE; Kim, YH; Yoon, DY; Kim, YJ; Bae, JS","Kim, Yerim; Kim, Jee-Eun; Kim, Yoo Hwan; Yoon, Dae Young; Kim, Yeo Jin; Bae, Jong Seok",Social attention and scientific articles on stroke: Altmetric analysis of top-50 articles,CLINICAL NEUROLOGY AND NEUROSURGERY,English,Article,Cerebral infarction; Intracranial hemorrhages; Social media; Stroke; Twitter,2019,183,0,10.1016/j.clineuro.2019.105386,"y kim, je kim, yh kim, dy yoon, yj kim, js bae","yerim kim, jee-eun kim, yoo hwan kim, dae young yoon, yeo jin kim, jong seok bae",social attention scientific articles on stroke altmetric analysis top 50 articles,clinical neurology and neurosurgery,"cerebral infarction, intracranial hemorrhages, social media, stroke, twitter"
47,"Gudi, SK; Basker, SP","Gudi, Sai Krishna; Basker, Swarna Priya",Self-promotions and advertising: are they a common practice for boosting altmetric scores?,SCIENCE EDITING,English,Article,,2019,6,2,10.6087/kcse.177,"sk gudi, sp basker","sai krishna gudi, swarna priya basker",self promotions advertising are they a common practice for boosting altmetric scores,science editing,
48,"Yan, WW; Zhang, Y","Yan, Weiwei; Zhang, Yin",User behaviors and network characteristics of US research universities on an academic social networking site,HIGHER EDUCATION,English,Article,Academic social networking site; Scholar behavior; Hierarchical clustering; ResearchGate metrics; Higher education institutions,2019,78,2,10.1007/s10734-018-0339-x,"ww yan, y zhang","weiwei yan, yin zhang",user behaviors network characteristics us research universities on an academic social networking site,higher education,"academic social networking site, hierarchical clustering, higher education institutions, researchgate metrics, scholar behavior"
49,"Bang, CS; Lee, JJ; Baik, GH","Bang, Chang Seok; Lee, Jae Jun; Baik, Gwang Ho",The most influential articles in Helicobacter pylori research: A bibliometric analysis,HELICOBACTER,English,Article,bibliometrics; Helicobacter pylori; publications; research,2019,24,4,10.1111/hel.12589,"cs bang, jj lee, gh baik","chang seok bang, jae jun lee, gwang ho baik",most influential articles in helicobacter pylori research a bibliometric analysis,helicobacter,"bibliometrics, helicobacter pylori, publications, research"
50,"Gasparyan, AY; Yessirkepov, M; Voronov, AA; Koroleva, AM; Kitas, GD","Gasparyan, Armen Yuri; Yessirkepov, Marlen; Voronov, Alexander A.; Koroleva, Anna M.; Kitas, George D.",Comprehensive Approach to Open Access Publishing: Platforms and Tools,JOURNAL OF KOREAN MEDICAL SCIENCE,English,Article,Periodicals as Topic; Access to Information; Open Access Publishing; Peer Review; Bibliography as Topic,2019,34,27,10.3346/jkms.2019.34.e184,"ay gasparyan, m yessirkepov, aa voronov, am koroleva, gd kitas","armen yuri gasparyan, marlen yessirkepov, alexander a. voronov, anna m. koroleva, george d. kitas",comprehensive approach to open access publishing platforms tools,journal of korean medical science,"access to information, bibliography as topic, open access publishing, peer review, periodicals as topic"
51,"Kalachikhin, PA","Kalachikhin, P. A.",Comparison of Research Results by Scientific Communities,AUTOMATIC DOCUMENTATION AND MATHEMATICAL LINGUISTICS,English,Article,altmetrics; bibliometric indicators; scientometric platforms; scientific community; professional community; network community,2019,53,4,10.3103/s0005105519040071,pa kalachikhin,p. a. kalachikhin,comparison research results by scientific communities,automatic documentation and mathematical linguistics,"altmetrics, bibliometric indicators, network community, professional community, scientific community, scientometric platforms"
52,"Ali, MY; Richardson, J","Ali, Muhammad Yousuf; Richardson, Joanna",Google Scholar Citation metrics of Pakistani LIS scholars: an overview,GLOBAL KNOWLEDGE MEMORY AND COMMUNICATION,English,Article,Research impact; Altmetrics; Academic social networking; LIS researcher; Researcher profile; Scholarly profile,2019,68,4-5,10.1108/gkmc-03-2018-0025,"my ali, j richardson","muhammad yousuf ali, joanna richardson",google scholar citation metrics pakistani lis scholars an overview,global knowledge memory and communication,"academic social networking, altmetrics, lis researcher, research impact, researcher profile, scholarly profile"
53,"Heydari, S; Shekofteh, M; Kazerani, M","Heydari, Shabnam; Shekofteh, Maryam; Kazerani, Maryam",Relationship between Altmetrics and Citations: A Study on the Highly Cited Research Papers,DESIDOC JOURNAL OF LIBRARY & INFORMATION TECHNOLOGY,English,Article,Altmetrics; Citations; Highly cited articles; Surgery; Social media; Mendeley,2019,39,4,10.14429/djlit.39.4.14204,"s heydari, m shekofteh, m kazerani","shabnam heydari, maryam shekofteh, maryam kazerani",relationship between altmetrics citations a study on highly cited research papers,desidoc journal of library information technology,"altmetrics, citations, highly cited articles, mendeley, social media, surgery"
54,"Katchanov, YL; Markova, YV; Shmatko, NA","Katchanov, Yurij L.; Markova, Yulia, V; Shmatko, Natalia A.",Comparing the topological rank of journals in Web of Science and Mendeley,HELIYON,English,Article,Information science; Biological journals; Ranking; Bibliometrics; Altmetrics; Wakeby distribution,2019,5,7,10.1016/j.heliyon.2019.e02089,"yl katchanov, yv markova, na shmatko","yurij l. katchanov, yulia v markova, natalia a. shmatko",comparing topological rank journals in web science mendeley,heliyon,"altmetrics, bibliometrics, biological journals, information science, ranking, wakeby distribution"
55,"Kerchhoff, G; Kahn, M; Nassimbeni, M","Kerchhoff, Gillian; Kahn, Michelle; Nassimbeni, Mary",A 20-year evaluation of PLAAS research outputs: Impact on the scholarly domain and in social media,SOUTH AFRICAN JOURNAL OF SCIENCE,English,Article,bibliometrics; altmetrics; research outputs; scholarly communication; grey literature,2019,115,7-8,10.17159/sajs.2019/5655,"g kerchhoff, m kahn, m nassimbeni","gillian kerchhoff, michelle kahn, mary nassimbeni",a 20 year evaluation plaas research outputs impact on scholarly domain in social media,south african journal of science,"altmetrics, bibliometrics, grey literature, research outputs, scholarly communication"
56,"Yueping, H; Gerbig, M; Kirby, S","Yueping, Helen; Gerbig, Madeline; Kirby, Sabrina",Needs assessment for improving library support for dentistry researchers,JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,English,Article,,2019,107,3,10.5195/jmla.2019.556,"h yueping, m gerbig, s kirby","helen yueping, madeline gerbig, sabrina kirby",needs assessment for improving library support for dentistry researchers,journal of the medical library association,
57,"Smith, ZL; Chiang, AL; Bowman, D; Wallace, MB","Smith, Zachary L.; Chiang, Austin L.; Bowman, Deborah; Wallace, Michael B.",Longitudinal relationship between social media activity and article citations in the journal Gastrointestinal Endoscopy,GASTROINTESTINAL ENDOSCOPY,English,Article,,2019,90,1,10.1016/j.gie.2019.03.028,"zl smith, al chiang, d bowman, mb wallace","zachary l. smith, austin l. chiang, deborah bowman, michael b. wallace",longitudinal relationship between social media activity article citations in journal gastrointestinal endoscopy,gastrointestinal endoscopy,
58,"Cheek, J; Oby, E","Cheek, Julianne; Oby, Elise","Getting Attention Creating and Presenting the Visible, Online, Researcher Self",QUALITATIVE INQUIRY,English,Article,social media; social networking; presentation of the (digital) self; altmetrics; researcher online presence; researcher visibility; visibility as competitive advantage; researcher selfie,2019,25,6,10.1177/1077800418806593,"j cheek, e oby","julianne cheek, elise oby",getting attention creating presenting visible online researcher self,qualitative inquiry,"altmetrics, presentation of the (digital) self, researcher online presence, researcher selfie, researcher visibility, social media, social networking, visibility as competitive advantage"
