,base,authors_l,title_l,title,journal_l,keywords_l,year,doi
34,dimensions,"armen yuri gasparyan, lilit ayvazyan, ulzhan mukanova, marlen yessirkepov, george d. kitas",scientific hypotheses writing promoting and predicting implications,"Scientific Hypotheses: Writing, Promoting, and Predicting Implications",journal of korean medical science,"22 philosophy and religious studies, 2203 philosophy",2019,10.3346/jkms.2019.34.e300
35,dimensions,"miguel angel martin-piedra, antonio santisteban-espejo, jose antonio moral-munoz, fernando campos, jesus chato-astrain, oscar dario garcia-garcia, david sanchez-porras, antonio campos",an evolutive and scientometric research on tissue engineering reviews,An Evolutive and Scientometric Research on Tissue Engineering Reviews,tissue engineering part a,"06 biological sciences, 0601 biochemistry and cell biology, 09 engineering, 0903 biomedical engineering, 0912 materials engineering",2019,10.1089/ten.tea.2019.0247
36,dimensions,"bryant winston tran, sabrina kaur dhillon, astrid regina overholt, marc huntoon",social media for the regional anesthesiologist can we use it in place of medical journals,Social media for the regional anesthesiologist: can we use it in place of medical journals?,regional anesthesia and pain medicine,"11 medical and health sciences, 1117 public health and health services",2019,10.1136/rapm-2019-100835
37,dimensions,"mustafa sultan, elen m. brown, rhys h. thomas",clinicians embracing social media potential and pitfalls,Clinicians embracing social media: Potential and pitfalls,epilepsy behavior,"11 medical and health sciences, 1117 public health and health services",2019,10.1016/j.yebeh.2019.106462
38,dimensions,"yeon jung lee, jaeuk hwang, soyoung irene lee, sung-il woo, sang woo hahn, steve koh",impact of experience of psychiatrists and psychiatry residents regarding electronic communication and social networking on internet use patterns a questionnaire survey for developing e professionalism in south korea,Impact of experience of psychiatrists and psychiatry residents regarding electronic communication and social networking on internet use patterns: a questionnaire survey for developing e-professionalism in South Korea,bmc medical education,"11 medical and health sciences, 1117 public health and health services, 13 education, 1302 curriculum and pedagogy",2019,10.1186/s12909-019-1771-z
39,dimensions,"leslie k john, george loewenstein, andrew marder, michael l callaham",effect of revealing authors conflicts of interests in peer review randomized controlled trial,Effect of revealing authors’ conflicts of interests in peer review: randomized controlled trial,the bmj,"11 medical and health sciences, 1117 public health and health services",2019,10.1136/bmj.l5896
40,dimensions,margaret a. hoogland,how medical students discover and use medical information tools,How Medical Students Discover and Use Medical Information Tools,medical reference services quarterly,"08 information and computing sciences, 0807 library and information studies",2019,10.1080/02763869.2019.1661197
41,dimensions,"niranjan j. sathianathen, robert lane, benjamin condon, declan g. murphy, nathan lawrentschuk, christopher j. weight, alastair d. lamb",early online attention can predict citation counts for urological publications the urosome_score,Early Online Attention Can Predict Citation Counts for Urological Publications: The #UroSoMe_Score,european urology focus,"01 mathematical sciences, 0104 statistics",2019,10.1016/j.euf.2019.10.015
42,dimensions,"juan ignacio aura-tormos, veronica garcia-sanz, filomena estrela, carlos bellot-arcis, vanessa paredes-gallardo",current trends in orthodontic journals listed in journal citation reports a bibliometric study,Current trends in orthodontic journals listed in Journal Citation Reports. A bibliometric study,american journal of orthodontics and dentofacial orthopedics,"11 medical and health sciences, 1117 public health and health services",2019,10.1016/j.ajodo.2019.01.019
43,dimensions,"kevin p davy, brenda m davy",advances in nutrition science and integrative physiology insights from controlled feeding studies,Advances in Nutrition Science and Integrative Physiology: Insights From Controlled Feeding Studies,frontiers in physiology,"11 medical and health sciences, 1111 nutrition and dietetics",2019,10.3389/fphys.2019.01341
44,dimensions,"rafael vidal-perez, jose juan gomez de diego, julia grapsa, ricardo fontes-carvalho, jose ramon gonzalez-juanatey",social media in cardiology reasons to learn how to use it,Social media in cardiology: Reasons to learn how to use it,world journal of cardiology,"08 information and computing sciences, 0806 information systems",2019,10.4330/wjc.v11.i10.217
45,dimensions,"chengxian yang, xue wang, xiaoli tang, renzhi wang, xinjie bao",stem cell research of parkinsons disease a bibliometric analysis of research productivity from 1999 to 2018,Stem-cell research of Parkinson's disease: a bibliometric analysis of research productivity from 1999 to 2018,world neurosurgery,"11 medical and health sciences, 1109 neurosciences",2019,10.1016/j.wneu.2019.10.087
46,dimensions,"rieko ueda, yuji nishizaki, yasuhiro homma, shoji sanada, toshiaki otsuka, shinji yasuno, kotone matsuyama, naotake yanagisawa, masashi nagao, kazutoshi fujibayashi, shuko nojiri, yumiko seo, natsumi yamada, patrick devos, hiroyuki daida",importance of quality assessment in clinical research in japan,Importance of Quality Assessment in Clinical Research in Japan,frontiers in pharmacology,"11 medical and health sciences, 1103 clinical sciences",2019,10.3389/fphar.2019.01228
47,dimensions,"lauren a. maggio, todd c. leroux, anthony r. artino",to tweet or not to tweet that is the question a randomized trial of twitter effects in medical education,"To tweet or not to tweet, that is the question: A randomized trial of Twitter effects in medical education",plos one,"11 medical and health sciences, 1117 public health and health services",2019,10.1371/journal.pone.0223992
49,dimensions,"alistair b. lawrence, belinda vigors, peter sandoe",what is so positive about positive animal welfare a critical review of the literature,What Is so Positive about Positive Animal Welfare?—A Critical Review of the Literature,animals,"06 biological sciences, 0608 zoology",2019,10.3390/ani9100783
51,dimensions,"austin l. johnson, trevor torgerson, mason skinner, tom hamilton, daniel tritz, matt vassar",an assessment of transparency and reproducibilityrelated research practices in otolaryngology,An assessment of transparency and reproducibility‐related research practices in otolaryngology,the laryngoscope,"11 medical and health sciences, 1117 public health and health services",2019,10.1002/lary.28322
52,dimensions,"andreas triantafyllidis, haridimos kondylakis, konstantinos votis, dimitrios tzovaras, nicos maglaveras, kazem rahimi",features outcomes and challenges in mobile health interventions for patients living with chronic diseases a review of systematic reviews,"Features, Outcomes, and Challenges in Mobile Health Interventions for Patients Living with Chronic Diseases: A Review of Systematic Reviews",international journal of medical informatics,"11 medical and health sciences, 1117 public health and health services",2019,10.1016/j.ijmedinf.2019.103984
53,dimensions,"andy wai kan yeung, yuh-shan ho",highly cited dental articles and their authors an evaluation of publication and citation characteristics,Highly cited dental articles and their authors: An evaluation of publication and citation characteristics,journal of investigative and clinical dentistry,"11 medical and health sciences, 1105 dentistry",2019,10.1111/jicd.12462
54,dimensions,"marcus maurer, ana m gimenez-arnau, gordon sussman, martin metz, diane r baker, andrea bauer, jonathan a bernstein, randolf brehler, chia-yu chu, wen-hung chung, inna danilycheva, clive grattan, jacques hebert, constance katelaris, michael makris, raisa meshkova, sinisa savic, rodney sinclair, karl sitz, petra staubach, bettina wedi, jurgen loffler, avantika barve, kenneth kobayashi, eva hua, thomas severin, reinhold janocha",ligelizumab for chronic spontaneous urticaria,Ligelizumab for Chronic Spontaneous Urticaria,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences",2019,10.1056/nejmoa1900408
55,dimensions,"daniel g kipnis, lisa a palmer, ramune k kubilius",the institutional repository landscape in medical schools and academic health centers a 2018 snapshot view and analysis,The institutional repository landscape in medical schools and academic health centers: a 2018 snapshot view and analysis,journal of the medical library association,"08 information and computing sciences, 0807 library and information studies",2019,10.5195/jmla.2019.653
56,dimensions,"caitlin j bakker, jenny mcburney, katherine v chew, melissa aho, del reed",implementing and assessing a service to demonstrate public impact of faculty research in news and policy sources,Implementing and assessing a service to demonstrate public impact of faculty research in news and policy sources,journal of the medical library association,"08 information and computing sciences, 0807 library and information studies",2019,10.5195/jmla.2019.709
57,dimensions,"j. kolahi, s. khazaei, p. iranmanesh, a. khademi, m. h. nekoofar, p. m. h. dummer",altmetric analysis of the contemporary scientific literature in endodontology,Altmetric analysis of the contemporary scientific literature in Endodontology,international endodontic journal,"11 medical and health sciences, 1105 dentistry",2019,10.1111/iej.13226
58,dimensions,"d. garcovich, l. marques martinez, m. adobes martin",citation classics in paediatric dentistry a bibliometric study on the 100 most cited articles,Citation classics in paediatric dentistry: a bibliometric study on the 100 most-cited articles,european archives of paediatric dentistry,"11 medical and health sciences, 1105 dentistry",2019,10.1007/s40368-019-00483-z
59,dimensions,"alexander p. nocera, carter j. boyd, hunter boudreau, ornin hakim, soroush rais-bahrami",examining the correlation between altmetric score and citations in the urology literature,Examining the Correlation Between Altmetric Score and Citations in the Urology Literature,urology,"11 medical and health sciences, 1103 clinical sciences",2019,10.1016/j.urology.2019.09.014
60,dimensions,"zezhou wu, changhong chen, yuzhu cai, chen lu, hao wang, tao yu",bim based visualization research in the construction industry a network analysis,BIM-Based Visualization Research in the Construction Industry: A Network Analysis,international journal of environmental research and public health,"08 information and computing sciences, 0801 artificial intelligence and image processing",2019,10.3390/ijerph16183473
61,dimensions,"nathan h varady, akash a chandawarkar, willem a kernkamp, itai gans",who should you be following the top 100 social media influencers in orthopaedic surgery,Who should you be following? The top 100 social media influencers in orthopaedic surgery,world journal of orthopedics,"11 medical and health sciences, 1103 clinical sciences",2019,10.5312/wjo.v10.i9.327
62,dimensions,"stephen e gilman, mady hornig",the disillusionment of dohad epidemiology,The Disillusionment of DOHaD Epidemiology,american journal of epidemiology,"11 medical and health sciences, 1117 public health and health services",2019,10.1093/aje/kwz214
65,dimensions,"mohan timilsina, haixuan yang, ratnesh sahay, dietrich rebholz-schuhmann",predicting links between tumor samples and genes using 2 layered graph based diffusion approach,Predicting links between tumor samples and genes using 2-Layered graph based diffusion approach,bmc bioinformatics,"06 biological sciences, 0604 genetics",2019,10.1186/s12859-019-3056-2
66,dimensions,"xin zou, hai l. vu",mapping the knowledge domain of road safety studies a scientometric analysis,Mapping the knowledge domain of road safety studies: A scientometric analysis,accident analysis prevention,"17 psychology and cognitive sciences, 1701 psychology",2019,10.1016/j.aap.2019.07.019
67,dimensions,"satoshi yasuda, koichi kaikita, masaharu akao, junya ako, tetsuya matoba, masato nakamura, katsumi miyauchi, nobuhisa hagiwara, kazuo kimura, atsushi hirayama, kunihiko matsui, hisao ogawa",antithrombotic therapy for atrial fibrillation with stable coronary disease,Antithrombotic Therapy for Atrial Fibrillation with Stable Coronary Disease,new england journal of medicine,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology",2019,10.1056/nejmoa1904143
68,dimensions,ralitsa r. madsen,scientific impact and the quest for visibility,Scientific impact and the quest for visibility,the febs journal,"03 chemical sciences, 0304 medicinal and biomolecular chemistry, 06 biological sciences, 0601 biochemistry and cell biology, 11 medical and health sciences, 1101 medical biochemistry and metabolomics",2019,10.1111/febs.15043
69,dimensions,"mostafa alabousi, nanxi zha, michael n. patlas",predictors of citation rate for original research studies in the canadian association of radiologists journal,Predictors of Citation Rate for Original Research Studies in the Canadian Association of Radiologists Journal,canadian association of radiologists journal,"01 mathematical sciences, 0104 statistics",2019,10.1016/j.carj.2019.06.004
71,dimensions,"mark tulchinsky, a bertrand brill",spotlight on the association of radioactive iodine treatment with cancer mortality in patients with hyperthyroidism is keeping the highest risk from antithyroid drugs in the blind spot,Spotlight on the Association of Radioactive Iodine Treatment With Cancer Mortality in Patients With Hyperthyroidism is Keeping the Highest Risk From Antithyroid Drugs in the Blind Spot.,clinical nuclear medicine,"11 medical and health sciences, 1112 oncology and carcinogenesis",2019,10.1097/rlu.0000000000002792
72,dimensions,"kelly a. cawcutt, jasmine r. marcelin, julie k. silver",using social media to disseminate research in infection prevention hospital epidemiology and antimicrobial stewardship,"Using social media to disseminate research in infection prevention, hospital epidemiology, and antimicrobial stewardship",infection control and hospital epidemiology,"11 medical and health sciences, 1117 public health and health services",2019,10.1017/ice.2019.231
73,dimensions,"james m economides, youna k choi, kenneth l fan, arjun p kanuri, david h song",are we witnessing a paradigm shift a systematic review of social media in residency,Are We Witnessing a Paradigm Shift?: A Systematic Review of Social Media in Residency.,plastic reconstructive surgery global open,"16 studies in human society, 1608 sociology",2019,10.1097/gox.0000000000002288
74,dimensions,"anup a. shah, benjamin j. davies",how to use social media in urologic practice,How to Use Social Media in Urologic Practice,european urology focus,,2019,10.1016/j.euf.2019.07.008
76,dimensions,"jessica g.y. luc, maral ouzounian, edward m. bender, arie blitz, nikki l. stamp, thomas k. varghese, david t. cooke, mara b. antonoff",the thoracic surgery social media network early experience and lessons learned,The Thoracic Surgery Social Media Network: Early experience and lessons learned,journal of thoracic and cardiovascular surgery,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology, 1103 clinical sciences",2019,10.1016/j.jtcvs.2019.06.099
78,dimensions,"a. tyler nix, judith e. smith",research impact core a research impact initiative at the university of michigan,Research Impact Core: A Research Impact Initiative at the University of Michigan,medical reference services quarterly,"08 information and computing sciences, 0807 library and information studies",2019,10.1080/02763869.2019.1623618
79,dimensions,"samy a azer, sarah azer",top cited articles in medical professionalism a bibliometric analysis versus altmetric scores,Top-cited articles in medical professionalism: a bibliometric analysis versus altmetric scores,bmj open,"11 medical and health sciences, 1103 clinical sciences, 1117 public health and health services, 1199 other medical and health sciences",2019,10.1136/bmjopen-2019-029433
80,dimensions,"hilda h. tso, jay r. parikh",embracing social media in the era of work life integration,Embracing social media in the era of work-life integration,clinical imaging,"11 medical and health sciences, 1103 clinical sciences",2019,10.1016/j.clinimag.2019.07.011
81,dimensions,"yurij l. katchanov, yulia v. markova, natalia a. shmatko",comparing the topological rank of journals in web of science and mendeley,Comparing the topological rank of journals in Web of Science and Mendeley,heliyon,"08 information and computing sciences, 0806 information systems",2019,10.1016/j.heliyon.2019.e02089
82,dimensions,"jafar kolahi, saber khazaei, elham bidram, roya kelishadi",altmetric analysis of contemporary iranian medical journals,Altmetric Analysis of Contemporary Iranian Medical Journals.,international journal of preventive medicine,11 medical and health sciences,2019,10.4103/ijpvm.ijpvm_134_19
83,dimensions,"howard y liu, eugene v beresin, margaret s chisolm",social media skills for professional development in psychiatry and medicine,Social Media Skills for Professional Development in Psychiatry and Medicine,psychiatric clinics of north america,"11 medical and health sciences, 17 psychology and cognitive sciences",2019,10.1016/j.psc.2019.05.004
84,dimensions,francesco sardanelli,the future of radiology is now the first 100 articles published in european radiology experimental,The future of radiology is now: the first 100 articles published in European Radiology Experimental,european radiology experimental,"08 information and computing sciences, 0801 artificial intelligence and image processing",2019,10.1186/s41747-019-0106-5
85,dimensions,"wolfgang kaltenbrunner, sarah de rijcke",filling in the gaps the interpretation of curricula vitae in peer review,Filling in the gaps: The interpretation of curricula vitae in peer review,social studies of science,"22 philosophy and religious studies, 2202 history and philosophy of specific fields",2019,10.1177/0306312719864164
86,dimensions,"ervin sejdic, fong-chin su",what the future holds for biomedical engineering online,What the future holds for Biomedical Engineering Online?,biomedical engineering online,"09 engineering, 0903 biomedical engineering",2019,10.1186/s12938-019-0702-x
87,dimensions,"gaelle e. doucet, won hee lee, sophia frangou",evaluation of the spatial variability in the major restingstate networks across human brain functional atlases,Evaluation of the spatial variability in the major resting‐state networks across human brain functional atlases,human brain mapping,"11 medical and health sciences, 1109 neurosciences",2019,10.1002/hbm.24722
88,dimensions,daniel kim,bridging the epidemiology policy divide a consequential and evidence based framework to optimize population health,Bridging the epidemiology-policy divide: A consequential and evidence-based framework to optimize population health,preventive medicine,"11 medical and health sciences, 1117 public health and health services",2019,10.1016/j.ypmed.2019.105781
89,dimensions,"obaro evuarherhe, william gattrell, richard white, christopher c. winchester",professional medical writing support and the quality ethics and timeliness of clinical trial reporting a systematic review,"Professional medical writing support and the quality, ethics and timeliness of clinical trial reporting: a systematic review",research integrity and peer review,"11 medical and health sciences, 1117 public health and health services",2019,10.1186/s41073-019-0073-7
90,dimensions,alan regenberg,science and social media,Science and Social Media,stem cells translational medicine,"06 biological sciences, 0601 biochemistry and cell biology, 10 technology, 1004 medical biotechnology, 11 medical and health sciences, 1103 clinical sciences",2019,10.1002/sctm.19-0066
91,dimensions,"paul ross, rachel cross",rise of the e nurse the power of social media in nursing,Rise of the e-Nurse: the power of social media in nursing,contemporary nurse,"11 medical and health sciences, 1110 nursing",2019,10.1080/10376178.2019.1641419
92,dimensions,"armen yuri gasparyan, marlen yessirkepov, alexander a. voronov, anna m. koroleva, george d. kitas",comprehensive approach to open access publishing platforms and tools,Comprehensive Approach to Open Access Publishing: Platforms and Tools,journal of korean medical science,"08 information and computing sciences, 0806 information systems",2019,10.3346/jkms.2019.34.e184
93,dimensions,"paul mcnamara, kim usher",share or perish social media and the international journal of mental health nursing,Share or perish: Social media and the International Journal of Mental Health Nursing,international journal of mental health nursing,"11 medical and health sciences, 1117 public health and health services",2019,10.1111/inm.12600
94,dimensions,bart ragon,alignment of library services with the research lifecycle,Alignment of library services with the research lifecycle,journal of the medical library association,"08 information and computing sciences, 0807 library and information studies",2019,10.5195/jmla.2019.595
95,dimensions,"rosie hanneke, jeanne m link",the complex nature of research dissemination practices among public health faculty researchers,The complex nature of research dissemination practices among public health faculty researchers,journal of the medical library association,"08 information and computing sciences, 0807 library and information studies",2019,10.5195/jmla.2019.524
96,dimensions,"helen yueping he, madeline gerbig, sabrina kirby",needs assessment for improving library support for dentistry researchers,Needs assessment for improving library support for dentistry researchers,journal of the medical library association,"08 information and computing sciences, 0807 library and information studies",2019,10.5195/jmla.2019.556
99,dimensions,"rohan shah, jasmine kashkoush, ahmed kashkoush, trushar patel",analysis of the top 100 most influential papers in benign prostatic hyperplasia,Analysis of the top 100 most influential papers in benign prostatic hyperplasia,canadian urological association journal,"14 economics, 1402 applied economics",2019,10.5489/cuaj.5831
100,dimensions,"tim s ellison, tim koder, laura schmidt, amy williams, christopher c winchester",open access policies of leading medical journals a cross sectional study,Open access policies of leading medical journals: a cross-sectional study,bmj open,"11 medical and health sciences, 1103 clinical sciences, 1117 public health and health services, 1199 other medical and health sciences",2019,10.1136/bmjopen-2018-028655
101,dimensions,"yuri rafael dos santos franco, gisela cristiane miyamoto, katherinne ferro moura franco, rodrigo ribeiro de oliveira, cristina maria nunes cabral",exercise therapy in the treatment of tendinopathies of the lower limbs a protocol of a systematic review,Exercise therapy in the treatment of tendinopathies of the lower limbs: a protocol of a systematic review,systematic reviews,"11 medical and health sciences, 1103 clinical sciences",2019,10.1186/s13643-019-1058-9
102,dimensions,"oscar mauricio munoz-velandia, daniel gerardo fernandez-avila, daniela patino-hernandez, ana maria gomez",metrics of activity in social networks are correlated with traditional metrics of scientific impact in endocrinology journals,Metrics of activity in social networks are correlated with traditional metrics of scientific impact in endocrinology journals,diabetes metabolic syndrome clinical research reviews,"11 medical and health sciences, 1103 clinical sciences",2019,10.1016/j.dsx.2019.06.018
103,dimensions,"victoria hartman, lise matzke, peter h. watson",biospecimen complexity and the evolution of biobanks,Biospecimen Complexity and the Evolution of Biobanks,biopreservation and biobanking,"06 biological sciences, 0601 biochemistry and cell biology, 10 technology, 1004 medical biotechnology",2019,10.1089/bio.2018.0120
104,dimensions,"nasrine olson, juhee bae",biosensorspublication trends and knowledge domain visualization,Biosensors—Publication Trends and Knowledge Domain Visualization,sensors,"03 chemical sciences, 0301 analytical chemistry, 09 engineering, 0906 electrical and electronic engineering",2019,10.3390/s19112615
105,dimensions,"yerim kim, jee-eun kim, yoo hwan kim, dae young yoon, yeo jin kim, jong seok bae",social attention and scientific articles on stroke altmetric analysis of top 50 articles,Social Attention and Scientific Articles on Stroke: Altmetric Analysis of Top-50 Articles,clinical neurology and neurosurgery,"11 medical and health sciences, 1117 public health and health services",2019,10.1016/j.clineuro.2019.105386
106,dimensions,"isabelle boutron, romana haneef, amelie yavchitz, gabriel baron, john novack, ivan oransky, gary schwitzer, philippe ravaud",three randomized controlled trials evaluating the impact of spin in health news stories reporting studies of pharmacologic treatments on patients caregivers interpretation of treatment benefit,Three randomized controlled trials evaluating the impact of “spin” in health news stories reporting studies of pharmacologic treatments on patients’/caregivers’ interpretation of treatment benefit,bmc medicine,"11 medical and health sciences, 1103 clinical sciences",2019,10.1186/s12916-019-1330-9
107,dimensions,"michael fire, carlos guestrin",over optimization of academic publishing metrics observing goodharts law in action,Over-optimization of academic publishing metrics: observing Goodhart’s Law in action,gigascience,"11 medical and health sciences, 1103 clinical sciences",2019,10.1093/gigascience/giz053
108,dimensions,"jeremy chang, nidhi desai, ankush gosain",correlation between altmetric score and citations in pediatric surgery core journals,Correlation Between Altmetric Score and Citations in Pediatric Surgery Core Journals,journal of surgical research,"11 medical and health sciences, 1103 clinical sciences",2019,10.1016/j.jss.2019.05.010
109,dimensions,"frank a lederle, tassos c kyriakides, kevin t stroupe, julie a freischlag, frank t padberg, jon s matsumura, zhiping huo, gary r johnson",open versus endovascular repair of abdominal aortic aneurysm,Open versus Endovascular Repair of Abdominal Aortic Aneurysm,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences",2019,10.1056/nejmoa1715955
110,dimensions,"karen a. friedman, saori w. herman, alice fornari",medical education using minimal technology achieving professional development,Medical education using minimal technology: achieving professional development,medical education online,"13 education, 1303 specialist studies in education",2019,10.1080/10872981.2019.1622365
111,dimensions,"j. w. jeong, m. j. kim, h.-k. oh, s. jeong, m. h. kim, j. r. cho, d.-w. kim, s.-b. kang",the impact of social media on citation rates in coloproctology,The impact of social media on citation rates in coloproctology,colorectal disease,"11 medical and health sciences, 1117 public health and health services",2019,10.1111/codi.14719
112,dimensions,"adrian a diaz-faes, timothy d bowman, rodrigo costas",towards a second generation of social media metrics characterizing twitter communities of attention around science,Towards a second generation of ‘social media metrics’: Characterizing Twitter communities of attention around science,plos one,"08 information and computing sciences, 0806 information systems",2019,10.1371/journal.pone.0216408
113,dimensions,"nicholas chartres, alice fabbri, sally mcdonald, jessica turton, margaret allman-farinelli, joanne mckenzie, lisa bero",association of industry ties with outcomes of studies examining the effect of wholegrain foods on cardiovascular disease and mortality systematic review and meta analysis,Association of industry ties with outcomes of studies examining the effect of wholegrain foods on cardiovascular disease and mortality: systematic review and meta-analysis,bmj open,"11 medical and health sciences, 1117 public health and health services",2019,10.1136/bmjopen-2018-022912
114,dimensions,"saba ale ebrahim, amirhossein ashtari, maysam zamani pedram, nader ale ebrahim",publication trends in drug delivery and magnetic nanoparticles,Publication Trends in Drug Delivery and Magnetic Nanoparticles,nanoscale research letters,"10 technology, 1007 nanotechnology",2019,10.1186/s11671-019-2994-y
115,dimensions,"adam c. nolte, kevin a. nguyen, aaron perecman, matthew s. katz, patrick a. kenney, matthew r. cooperberg, cary p. gross, michael s. leapman",association between twitter reception at a national urology conference and future publication status,Association Between Twitter Reception at a National Urology Conference and Future Publication Status,european urology focus,"08 information and computing sciences, 0806 information systems",2019,10.1016/j.euf.2019.05.004
116,dimensions,"mariana f. g. lucena, paulo e. p. teixeira, camila bonin pinto, felipe fregni",top 100 cited noninvasive neuromodulation clinical trials,Top 100 cited noninvasive neuromodulation clinical trials,expert review of medical devices,"09 engineering, 0903 biomedical engineering",2019,10.1080/17434440.2019.1615440
117,dimensions,"jafar kolahi, saber khazaei, pedram iranmanesh, parisa soltani",analysis of highly tweeted dental journals and articles a science mapping approach,Analysis of highly tweeted dental journals and articles: a science mapping approach,british dental journal,"11 medical and health sciences, 1105 dentistry",2019,10.1038/s41415-019-0212-z
118,dimensions,"david isaacs, chris elliot, henry kilham, anne preisz",the ethics of publishing in medical journals,The ethics of publishing in medical journals,paediatric respiratory reviews,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology",2019,10.1016/j.prrv.2019.04.005
119,dimensions,maurizio s. tonetti,leadership in publishing,Leadership in publishing,journal of dentistry,"11 medical and health sciences, 1117 public health and health services",2019,10.1016/j.jdent.2019.05.006
