,base,authors_l,title_l,title,journal_l,keywords_l,year,language,doi
115,wos,mg dozmorov,github statistics as a measure impact open source bioinformatics software,GitHub Statistics as a Measure of the Impact of Open-Source Bioinformatics Software,frontiers in bioengineering and biotechnology,"altmetrics, bioinformatics, github, impact factor, software",2018,English,10.3389/fbioe.2018.00198
116,wos,"c wayant, m vassar",a comparison matched interim analysis publications final analysis publications in oncology clinical trials,A comparison of matched interim analysis publications and final analysis publications in oncology clinical trials,annals of oncology,"clinical trial as topic, progression-free survival, surrogate end point",2018,English,10.1093/annonc/mdy447
117,wos,"n robinson-garcia, tn van leeuwen, i rafols",using altmetrics for contextualised mapping societal impact from hits to networks,Using altmetrics for contextualised mapping of societal impact: From hits to networks,science and public policy,"altmetrics, open science, research evaluation, social engagement, societal impact, twitter",2018,English,10.1093/scipol/scy024
118,wos,"cs jabaley, rf groff, mj stentz, v moll, gc lynde, jm blum, vn o'reilly-shah",highly visible sepsis publications from 2012 to 2017 analysis comparison altmetrics bibliometrics,Highly visible sepsis publications from 2012 to 2017: Analysis and comparison of altmetrics and bibliometrics,journal of critical care,"bibliometrics, critical care, information dissemination, information science, scholarly communication, sepsis",2018,English,10.1016/j.jcrc.2018.09.033
119,wos,"r lezama-nicolas, m rodriguez-salvador, r rio-belver, i bildosola",a bibliometric method for assessing technological maturity case additive manufacturing,A bibliometric method for assessing technological maturity: the case of additive manufacturing,scientometrics,"62-07, additive manufacturing, bibliometrics, c13, technology life cycle, technology maturity, technology readiness level",2018,English,10.1007/s11192-018-2941-1
120,wos,"d tal, a gordon",intellectual leadership leonardo da vinci a bibliometric study,Intellectual Leadership of Leonardo da Vinci: A Bibliometric Study,society,"altmetrics, bibliometrics, intellectual leadership, leonardo da vinci",2018,English,10.1007/s12115-018-0307-1
121,wos,"s huang, lj martin, ch yeh, a chin, h murray, wb sanderson, r mohindra, tm chan, b thoma",effect an infographic promotion on research dissemination readership a randomized controlled trial,The effect of an infographic promotion on research dissemination and readership: A randomized controlled trial,canadian journal of emergency medicine,"infographics, knowledge translation, online educational resources, social media",2018,English,10.1017/cem.2018.436
122,wos,m thelwall,do females create higher impact research scopus citations mendeley readers for articles from five countries,Do females create higher impact research? Scopus citations and Mendeley readers for articles from five countries,journal of informetrics,"altmetrics, citation analysis, gender, mendeley",2018,English,10.1016/j.joi.2018.08.005
123,wos,"h park, hw park",research evaluation asian countries using altmetrics comparing south korea japan taiwan singapore china,"Research evaluation of Asian countries using altmetrics: comparing South Korea, Japan, Taiwan, Singapore, and China",scientometrics,"altmetric mentions, altmetrics, asian countries, quadruple helix, research evaluation, triple helix",2018,English,10.1007/s11192-018-2884-6
124,wos,"sm xu, hq yu, bm hemminger, x dong",who what why an exploration jove scientific video publications in tweets,"Who, what, why? An exploration of JoVE scientific video publications in tweets",scientometrics,"altmetrics, jove, participation in science, scholarly communication, twitter",2018,English,10.1007/s11192-018-2880-x
125,wos,"gy wang, gy hu, cf li, l tang",long live scientists tracking scientific fame great minds in physics,Long live the scientists: Tracking the scientific fame of great minds in physics,journal of informetrics,"altmetricsa, google corpus, own-group preference, scientific fame",2018,English,10.1016/j.joi.2018.08.008
126,wos,"cm wray, ad auerbach, vm arora",adoption an online journal club to improve research dissemination social media engagement among hospitalists,The Adoption of an Online Journal Club to Improve Research Dissemination and Social Media Engagement Among Hospitalists,journal of hospital medicine,,2018,English,10.12788/jhm.2987
127,wos,"d de filippo, ae serrano-lopez",from academia to citizenry study flow scientific information from projects to scientific journals social media in field energy saving,"From academia to citizenry. Study of the flow of scientific information from projects to scientific journals and social media in the field of ""Energy saving""",journal of cleaner production,"altmetrics, energy saving, research projects, scientific information, social media",2018,English,10.1016/j.jclepro.2018.07.177
128,wos,"tc tai, jpw robinson",enhancing climate change research with open science,Enhancing Climate Change Research With Open Science,frontiers in environmental science,"altmetrics, citation metrics, interdisciplinary, open access, reproducibility, science communication",2018,English,10.3389/fenvs.2018.00115
129,wos,"e gadd, i rowlands",how can bibliometric altmetric suppliers improve messages from end user community,How can bibliometric and altmetric suppliers improve? Messages from the end-user community,insights the uksg journal,"altmetrics, bibliometrics, end-users, services, suppliers, tools",2018,English,10.1629/uksg.437
130,wos,"pr cintra, ac furnival, dh milanez",impact open access citation social media on leading top information science journals,The impact of open access citation and social media on leading top Information Science journals,investigacion bibliotecologica,"altmetrics, bibliometrics, information science, journals, open access",2018,English,10.22201/iibi.24488321xe.2018.77.57874
131,wos,"f segado-boj, j martin-quevedo, jj prieto-gutierrez",attitudes toward open access open peer review altmetrics among contributors to spanish scholarly journals,"Attitudes toward Open Access, Open Peer Review, and Altmetrics among Contributors to Spanish Scholarly Journals",journal of scholarly publishing,"altmetrics, open access, open peer review, scholarly communications, social media",2018,English,10.3138/jsp.50.1.08
132,wos,"k holmberg, hw park",an altmetric investigation online visibility south korea based scientific journals,An altmetric investigation of the online visibility of South Korea-based scientific journals,scientometrics,"altmetrics, online attention, scientific journals, south korea",2018,English,10.1007/s11192-018-2874-8
133,wos,jm askeridis,an h index for mendeley comparison citation based h indices a readership based h men index for 29 authors,An h index for Mendeley: comparison of citation-based h indices and a readership-based h(men) index for 29 authors,scientometrics,"citation, h index, mendeley, readership, scientific age",2018,English,10.1007/s11192-018-2882-8
134,wos,"c lutz, cp hoffmann",making academic social capital visible relating sns based alternative traditional metrics scientific impact,"Making Academic Social Capital Visible: Relating SNS-Based, Alternative and Traditional Metrics of Scientific Impact",social science computer review,"altmetrics, bibliometrics, scientific impact, social media, social network sites",2018,English,10.1177/0894439317721181
135,wos,"lw zhang, j wang",why highly cited articles are not highly tweeted a biology case,Why highly cited articles are not highly tweeted? A biology case,scientometrics,"citation, publication, timing of tweet, tweet, twitter users",2018,English,10.1007/s11192-018-2876-6
136,wos,"va markusova, le mindeli, vg bogorov, an libkind",an altmetric as an indicator a publications scientific impact,An Altmetric As an Indicator of a Publication's Scientific Impact,herald of the russian academy of sciences,"altmetrics, article usage indicator, citation index, indicators, journal, journal cited half-life, kendall rank correlation, publications",2018,English,10.1134/s1019331618040123
137,wos,"a asemi, m heydari",correlation between articles citations in web science wos readership rate in mendeley research gate rg,Correlation between the Articles Citations in Web of Science (WoS) and the Readership Rate in Mendeley and Research Gate (RG),journal of scientometric research,"altmetric, citation, iranian scholars, mendeley, readership, researchgate (rg), scientometric, web of science (wos), webometric",2018,English,10.5530/jscires.7.3.25
138,wos,a stewart,can family business loosen grips accounting economics finance,"Can family business loosen the grips of accounting, economics, and finance?",journal of family business strategy,"balance of trade, bibliometrics, cross citations, disciplines, journals, simmelian ties",2018,English,10.1016/j.jfbs.2018.06.001
139,wos,k blakeman,bibliometrics in a digital age help or hindrance,Bibliometrics in a digital age: help or hindrance,science progress,,2018,English,10.3184/003685018x15337564592469
140,wos,"n cheng, k dong",knowledge communication on social media a case study biomedical science on baidu baike,Knowledge communication on social media: a case study of Biomedical Science on Baidu Baike,scientometrics,"altmetrics, citation analysis, co-occurrence analysis, heterogeneous coupling, knowledge communication and sharing, online encyclopedia, social media",2018,English,10.1007/s11192-018-2828-1
141,wos,"j bar-ilan, g halevi",temporal characteristics retracted articles,Temporal characteristics of retracted articles,scientometrics,"altmetrics, citation analysis, scientific fraud and dishonesty",2018,English,10.1007/s11192-018-2802-y
142,wos,c galvez,co word analysis applied to highly cited papers in library information science 2007 2017,Co-word analysis applied to highly cited papers in Library and Information Science (2007-2017),transinformacao,"citation analyses, co-word analysis, information sciences, librarianship, scientometrics",2018,Spanish,10.1590/2318-08892018000300001
143,wos,"j ruano, m aguilar-luque, b isla-tejera, p alcalde-mellado, j gay-mimbrera, jl hernandez-romero, jl sanz-cabanillas, b maestre-lopez, m gonzalez-padilla, pj carmona-fernandez, f gomez-garcia, av garcia-nieto",relationships between abstract features methodological quality explained variations social media activity derived from systematic reviews about psoriasis interventions,Relationships between abstract features and methodological quality explained variations of social media activity derived from systematic reviews about psoriasis interventions,journal of clinical epidemiology,"abstract readability, altmetrics, amstar, methodological quality, prisma for abstract, psoriasis, systematic reviews",2018,English,10.1016/j.jclinepi.2018.05.015
144,wos,jl ortega,reliability accuracy altmetric providers a comparison among altmetric plumx crossref event data,"Reliability and accuracy of altmetric providers: a comparison among Altmetric.com, PlumX and Crossref Event Data",scientometrics,"altmetric.com, altmetrics, crossref event data, data providers, plumx",2018,English,10.1007/s11192-018-2838-z
145,wos,"agmt powell, v bevan, c brown, wg lewis",altmetric versus bibliometric perspective regarding publication impact force,Altmetric Versus Bibliometric Perspective Regarding Publication Impact and Force,world journal of surgery,,2018,English,10.1007/s00268-018-4579-9
146,wos,"cm pulido, g redondo-sama, t sorde-marti, r flecha",social impact in social media a new method to evaluate social impact research,Social impact in social media: A new method to evaluate the social impact of research,plos one,,2018,English,10.1371/journal.pone.0203117
147,wos,jl ortega,life cycle altmetric impact a longitudinal study six metrics from plumx,The life cycle of altmetric impact: A longitudinal study of six metrics from PlumX,journal of informetrics,"altmetrics, citations, longitudinal study, plumx, readers, tweets",2018,English,10.1016/j.joi.2018.06.001
148,wos,"hq yu, sm xu, tt xiao",is there lingua franca in informal scientific communication evidence from language distribution scientific tweets,Is there Lingua Franca in informal scientific communication? Evidence from language distribution of scientific tweets,journal of informetrics,"altmetrics, informal scientific communication, language distribution, scientific tweets, twitter",2018,English,10.1016/j.joi.2018.06.003
149,wos,"b lepori, m thelwall, bh hoorani",which us european higher education institutions are visible in researchgate what affects their rg score,Which US and European Higher Education Institutions are visible in ResearchGate and what affects their RG score?,journal of informetrics,"altmetrics, higher education institutions, institutional profiles, researchgate score",2018,English,10.1016/j.joi.2018.07.001
150,wos,"l bornmann, r haunschild",normalization zero inflated data an empirical analysis a new indicator family its use with altmetrics data,Normalization of zero-inflated data: An empirical analysis of a new indicator family and its use with altmetrics data,journal of informetrics,"altmetrics, citation counts, equalized mean-based normalized proportion cited (emnpc), mantel-haenszel quotient (mhq), mean-based normalized proportion cited (mnpc), zero-inflated data",2018,English,10.1016/j.joi.2018.01.010
151,wos,"f didegah, m thelwall",co saved co tweeted co cited networks,"Co-saved, co-tweeted, and co-cited networks",journal of the association for information science and technology,,2018,English,10.1002/asi.24028
152,wos,"jz zhou, bt lemelman, n done, ml henderson, a macmillan, dh song, ah dorafshar",social media dissemination research insights from most widely circulated articles in plastic surgery,Social Media and the Dissemination of Research: Insights from the Most Widely Circulated Articles in Plastic Surgery,plastic and reconstructive surgery,,2018,English,10.1097/prs.0000000000004598
153,wos,"r haunschild, l bornmann",field time normalization data with many zeros an empirical analysis using citation twitter data,Field- and time-normalization of data with many zeros: an empirical analysis using citation and Twitter data,scientometrics,"altmetrics, citation counts, data with many zeros, equalized mean-based normalized proportion cited (emnpc), mantel-haenszel quotient (mhq), mean-based normalized proportion cited (mnpc), twitter",2018,English,10.1007/s11192-018-2771-1
154,wos,g abramo,revisiting scientometric conceptualization impact its measurement,Revisiting the scientometric conceptualization of impact and its measurement,journal of informetrics,"altmetrics, bibliometrics, citations, research evaluation",2018,English,10.1016/j.joi.2018.05.001
155,wos,"la maggio, tc leroux, hs meyer, r anthony",meded exploring relationship between altmetrics traditional measures dissemination in health professions education,#MedEd: exploring the relationship between altmetrics and traditional measures of dissemination in health professions education,perspectives on medical education,"altmetrics, scholarly communication, social media",2018,English,10.1007/s40037-018-0438-5
156,wos,"cs black, dj lehane, c burns, bd o'donnell",an examination effect open versus paywalled access publication on disseminative impact citation count publications in intensive care medicine anesthesia,An examination of the effect of open versus paywalled access publication on the disseminative impact and citation count of publications in intensive care medicine and anesthesia,journal of critical care,"alternative metrics, citation analysis, open access, publication policy",2018,English,10.1016/j.jcrc.2018.05.008
157,wos,"j kolahi, s khazaei",altmetric analysis contemporary dental literature,Altmetric analysis of contemporary dental literature,british dental journal,,2018,English,10.1038/sj.bdj.2018.521
158,wos,"py chen, e hayes, v lariviere, cr sugimoto",social reference managers their users a survey demographics ideologies,Social reference managers and their users: A survey of demographics and ideologies,plos one,,2018,English,10.1371/journal.pone.0198033
159,wos,"ct rodriguez, rf de araujo",altmetrics citation indicators applied to scientific production in scienceopen descriptive analysis for brazil spain portugal,"Altmetrics and citation indicators applied to scientific production in ScienceOpen: descriptive analysis for Brazil, Spain and Portugal",bibliotecas anales de investigacion,"altmetrics, bibliometrics, citation analysis, scienceopen, scientific production",2018,Spanish,
160,wos,"d nicholas, e herman, j xu, c boukacem-zeghmouri, a abdullah, a watkinson, m swigon, b rodriguez-bravo",early career researchers quest for reputation in digital age,Early Career Researchers' Quest for Reputation in the Digital Age,journal of scholarly publishing,"assessment, early career researchers, online scholarly communities, scholarly communication, scholarly reputation",2018,English,10.3138/jsp.49.4.01
161,wos,"k holmberg, j vainio",why do some research articles receive more online attention higher altmetrics reasons for online success according to authors,Why do some research articles receive more online attention and higher altmetrics? Reasons for online success according to the authors,scientometrics,"altmetrics, impact, mendeley, online attention, scientific impact, societal impact, twitter",2018,English,10.1007/s11192-018-2710-1
162,wos,"f shu, w lou, s haustein",can twitter increase visibility chinese publications,Can Twitter increase the visibility of Chinese publications?,scientometrics,"altmetrics, china, citation analysis, scientific impact, twitter",2018,English,10.1007/s11192-018-2732-8
163,wos,pa kalachikhin,development a webometric criterion for ranking researchers,The Development of a Webometric Criterion for Ranking Researchers,automatic documentation and mathematical linguistics,"altmetrics, performance, publication, semi-webometric indicators, social media, webification",2018,English,10.3103/s0005105518040076
164,wos,"h sotudeh, t dehdarirad, j freer",gender differences in scientific productivity visibility in core neurosurgery journals citations social media metrics,Gender differences in scientific productivity and visibility in core neurosurgery journals: Citations and social media metrics,research evaluation,"altmetrics, gender differences, neurosurgery, social media metrics, visibility",2018,English,10.1093/reseval/rvy003
165,wos,"a wiggins, r bonney, g lebuhn, jk parrish, jf weltzin",a science products inventory for citizen science planning evaluation,A Science Products Inventory for Citizen-Science Planning and Evaluation,bioscience,"altmetrics, citizen science, evaluation, science policy, science products inventory",2018,English,10.1093/bioscience/biy028
166,wos,"f didegah, td bowman, k holmberg",on differences between citations altmetrics an investigation factors driving altmetrics versus citations for finnish articles,On the Differences Between Citations and Altmetrics: An Investigation of Factors Driving Altmetrics Versus Citations for Finnish Articles,journal of the association for information science and technology,,2018,English,10.1002/asi.23934
167,wos,m thelwall,early mendeley readers correlate with later citation counts,Early Mendeley readers correlate with later citation counts,scientometrics,"alternative indicators, altmetrics, citation analysis, mendeley",2018,English,10.1007/s11192-018-2715-9
168,wos,"s vogl, t scherndl, a kuhberger",psychology a bibliometric analysis psychological literature in online media,#Psychology: a bibliometric analysis of psychological literature in the online media,scientometrics,"altmetrics, online media, psychology, scholarly impact, social media",2018,English,10.1007/s11192-018-2727-5
169,wos,"a gates, r featherstone, k shave, sd scott, l hartling",dissemination evidence in paediatric emergency medicine a quantitative descriptive evaluation a 16 week social media promotion,Dissemination of evidence in paediatric emergency medicine: a quantitative descriptive evaluation of a 16-week social media promotion,bmj open,,2018,English,10.1136/bmjopen-2018-022298
170,wos,"n desrochers, a paul-hus, s haustein, r costas, p mongeon, a quan-haase, td bowman, j pecoskie, a tsou, v lariviere",authorship citations acknowledgments visibility in social media symbolic capital in multifaceted reward system science,"Authorship, citations, acknowledgments and visibility in social media: Symbolic capital in the multifaceted reward system of science",social science information sur les sciences sociales,"acknowledgements, altmetrics, authorship, citation analysis, impact, inventorship, reward system of science, scholarly communication, social media, symbolic capital",2018,English,10.1177/0539018417752089
171,wos,"b ahmad, a sajid, h nawaz, mm rind, b hassan, a maitlo, sa ruk",an analysis co relation between social network citation with h index its variants,An Analysis of Co-relation between Social Network Citation with H-Index and its Variants,international journal of computer science and network security,"altmetrics, bibliometrics, co-relation, h-index variants, social media analysis, tweetation",2018,English,
172,wos,"l bornmann, r haunschild",do altmetrics correlate with quality papers a large scale empirical study based on f1000prime data,Do altmetrics correlate with the quality of papers? A large-scale empirical study based on F1000Prime data,plos one,,2018,English,10.1371/journal.pone.0197133
173,wos,"e mohammadi, m thelwall, m kwasny, kl holmes",academic information on twitter a user survey,Academic information on Twitter: A user survey,plos one,,2018,English,10.1371/journal.pone.0197265
174,wos,"z zahedi, r costas",general discussion data quality challenges in social media metrics extensive comparison four major altmetric data aggregators,General discussion of data quality challenges in social media metrics: Extensive comparison of four major altmetric data aggregators,plos one,,2018,English,10.1371/journal.pone.0197326
175,wos,"a martin-martin, e orduna-malea, ed lopez-cozar",author level metrics in new academic profile platforms online behaviour bibliometrics community,Author-level metrics in the new academic profile platforms: The online behaviour of the Bibliometrics community,journal of informetrics,"alt metrics, author-level metrics, citation impact, google scholar citations, online academic profiles, social media metrics",2018,English,10.1016/j.joi.2018.04.001
176,wos,f giannetti,a twitter case study for assessing digital sound,A twitter case study for assessing digital sound,journal of the association for information science and technology,,2018,English,10.1002/asi.23990
177,wos,"d torres-salinas, pa castillo-valdivieso, a perez-luque, e romero-frias",altmetrics at institutional level visibility on web scientific production spanish universities from altmetric,Altmetrics at institutional level: Visibility on the web of the scientific production of Spanish universities from Altmetric.com,profesional de la informacion,"altmetric.com, altmetrics, bibliometrics indicators, facebook, scientific production, social networks, spanish universities, twitter, visibility, wikipedia",2018,Spanish,10.3145/epi.2018.may.03
178,wos,g casino,press citation the impact of scientific journals and research articles on news media,Press citation: The impact of scientific journals and research articles on news media,profesional de la informacion,"altmetrics, bibliometrics, citation analysis, indicators, lay press, media impact, press citations, scientific journalism",2018,Spanish,
179,wos,"jh hou, xc yang, cm chen",emerging trends new developments in information science a document co citation analysis 2009 2016,Emerging trends and new developments in information science: a document co-citation analysis (2009-2016),scientometrics,"citespace, co-citation analysis, information science, information visualization",2018,English,10.1007/s11192-018-2695-9
180,wos,"sl yang, x xing, d wolfram",difference in impact open access papers published by china usa,Difference in the impact of open-access papers published by China and the USA,scientometrics,"altmetrics, citation analysis, country, open access, research evaluation",2018,English,10.1007/s11192-018-2697-7
181,wos,"l bornmann, r haunschild",allegation scientific misconduct increases twitter attention,Allegation of scientific misconduct increases Twitter attention,scientometrics,"altmetrics, scientific misconduct, twitter",2018,English,10.1007/s11192-018-2698-6
182,wos,"b raudenbush, c frost, r okafor, cs chen, x qui, a mesfin",publication rate podium presentations from north american spine society annual meetings,Publication Rate of Podium Presentations From the North American Spine Society Annual Meetings,global spine journal,"annual meeting, north american spine society, podium presentation, publication rate, research",2018,English,10.1177/2192568217713732
183,wos,m thelwall,differences between journals years in proportions students researchers faculty registering mendeley articles,"Differences between journals and years in the proportions of students, researchers and faculty registering Mendeley articles",scientometrics,"altmetrics, citation analysis, faculty, mendeley, readership, research evaluation, students",2018,English,10.1007/s11192-018-2689-7
184,wos,"jc nabout, fb teresa, kb machado, vhm do prado, lm bini, jaf diniz",do traditional scientometric indicators predict social media activity on scientific knowledge an analysis ecological literature,Do traditional scientometric indicators predict social media activity on scientific knowledge? An analysis of the ecological literature,scientometrics,"altmetric, citation rates, ecology, science evaluation, social networks",2018,English,10.1007/s11192-018-2678-x
185,wos,"ct lamb, sl gilbert, at ford",tweet success scientific communication correlates with increased citations in ecology conservation,Tweet success? Scientific communication correlates with increased citations in Ecology and Conservation,peerj,"altmetric, enter a keyword, science communication, social media, twitter",2018,English,10.7717/peerj.4564
186,wos,"wy huang, pl wang, q wu",a correlation comparison between altmetric attention scores citations for six plos journals,A correlation comparison between Altmetric Attention Scores and citations for six PLOS journals,plos one,,2018,English,10.1371/journal.pone.0194962
187,wos,"ac araujo, dp nascimento, gz gonzalez, cg maher, lop costa",impact low back pain clinical trials measured by altmetric score cross sectional study,Impact of Low Back Pain Clinical Trials Measured by the Altmetric Score: Cross-Sectional Study,journal of medical internet research,"altmetric, clinical trials, low back pain, social impact",2018,English,10.2196/jmir.9368
188,wos,s bangani,impact electronic theses dissertations a study institutional repository a university in south africa,The impact of electronic theses and dissertations: a study of the institutional repository of a university in South Africa,scientometrics,"altmetrics, bibliometrics, google scholar, impact, institutional repositories, theses and dissertations",2018,English,10.1007/s11192-018-2657-2
189,wos,jl ortega,disciplinary differences impact altmetric,Disciplinary differences of the impact of altmetric,fems microbiology letters,"altmetrics, citations, crossref, disciplinary differences, plumx, principal component analysis (pca)",2018,English,10.1093/femsle/fny049
190,wos,"c livas, k delli",looking beyond traditional metrics in orthodontics an altmetric study on most discussed articles on web,Looking Beyond Traditional Metrics in Orthodontics: An Altmetric Study on the Most Discussed Articles on the Web,european journal of orthodontics,,2018,English,10.1093/ejo/cjx050
191,wos,"d herrmannova, rm patton, p knoth, cg stahl",do citations readership identify seminal publications,Do citations and readership identify seminal publications?,scientometrics,"altmetrics, bibliometrics, data mining, information retrieval, publication datasets, research evaluation, scholarly communication",2018,English,10.1007/s11192-018-2669-y
192,wos,"c meschede, t siebenlist",cross metric compatability inconsistencies altmetrics,Cross-metric compatability and inconsistencies of altmetrics,scientometrics,"aggregators, altmetrics, correlations, cross-metric compatibility, inconsistencies, mendeley",2018,English,10.1007/s11192-018-2674-1
193,wos,"r borchardt, c moran, s cantrill, chemjobber, sa oho, mr hartings",perception importance chemistry research papers comparison to citation rates,Perception of the importance of chemistry research papers and comparison to citation rates,plos one,,2018,English,10.1371/journal.pone.0194903
194,wos,"b thoma, h murray, sym huang, wk milne, lj martin, cm bond, r mohindra, a chin, ch yeh, wb sanderson, tm chan",impact social media promotion with infographics podcasts on research dissemination readership,The impact of social media promotion with infographics and podcasts on research dissemination and readership,canadian journal of emergency medicine,"infographics, knowledge translation, online educational resources, podcasts, social media",2018,English,10.1017/cem.2017.394
195,wos,"jd maricato, jl vilan",potential for altmetrics to measure other types impact in scientific production academic social impact dynamics in social media networks,The potential for Altmetrics to measure other types of impact in scientific production: academic and social impact dynamics in social media and networks,information research an international electronic journal,,2018,English,
196,wos,"y liu, d lin, xj xu, sm shan, qz sheng",multi views on nature index chinese academic institutions,Multi-views on Nature Index of Chinese academic institutions,scientometrics,"altmetrics sources, ranking, social media presence, the nature index 2015 china",2018,English,10.1007/s11192-017-2581-x
197,wos,"a martin-martin, e orduna-malea, ed lopez-cozar",a novel method for depicting academic disciplines through google scholar citations case bibliometrics,A novel method for depicting academic disciplines through Google Scholar Citations: The case of Bibliometrics,scientometrics,"academic profiles, academic search engines, altmetrics, bibliometrics, google scholar citations, informetrics, madap method, scientific disciplines, scientometrics, webometrics",2018,English,10.1007/s11192-017-2587-4
198,wos,"an libkind, va markusova, vg bogorov",evaluating relationship between bibliometrics altmetrics a case study russian publications sci 2015,Evaluating the Relationship between Bibliometrics and Altmetrics: A Case Study of Russian Publications SCI-E (2015),automatic documentation and mathematical linguistics,"altmetrics, bibliometrics, citedness, correlation dependence, rank correlation, russian publications, usage metrics, web of science",2018,English,10.3103/s0005105518020061
199,wos,"qz ruan, ad chen, jb cohen, d singhal, sj lin, bt lee",alternative metrics scholarly output relationship among altmetric score mendeley reader score citations downloads in plastic reconstructive surgery,"Alternative Metrics of Scholarly Output: The Relationship among Altmetric Score, Mendeley Reader Score, Citations, and Downloads in Plastic and Reconstructive Surgery",plastic and reconstructive surgery,,2018,English,10.1097/prs.0000000000004128
200,wos,"m thelwall, t nevill",could scientists use altmetric scores to predict longer term citation counts,Could scientists use Altmetric.com scores to predict longer term citation counts?,journal of informetrics,"altmetric.com, altmetrics, journal impact factors, mendeley, scientometrics",2018,English,10.1016/j.joi.2018.01.008
201,wos,"v markusova, v bogorov, a libkind",usage metrics vs classical metrics analysis russias research output,Usage metrics vs classical metrics: analysis of Russia's research output,scientometrics,"citations, impact factor, kendall correlation, russia, web of science usage counts",2018,English,10.1007/s11192-017-2597-2
203,wos,b pardal-pelaez,san francisco declaration on research assessment,San Francisco Declaration on Research Assessment,revista orl,"altmetrics, dora, journal impact factors, research assessment, san francisco declaration on research assessment",2018,Spanish,10.14201/orl.17845
204,wos,"w strielkowski, o chigisheva",research functionality academic publishing gaming with altmetrics in digital age,RESEARCH FUNCTIONALITY AND ACADEMIC PUBLISHING: GAMING WITH ALTMETRICS IN THE DIGITAL AGE,economics sociology,"academic publishing, career development, efficiency, internationalization, research productivity",2018,English,10.14254/2071-789x.2018/11-4/20
205,wos,ob onyancha,navigating rising metrics tide in 21st century which way for academic librarians in support researchers in sub saharan africa,Navigating the rising metrics tide in the 21st century: which way for academic librarians in support of researchers in sub-Saharan Africa?,south african journal of libraries and information science,"academic librarians, altmetrics, bibliometrics, research metrics, research support, sub-saharan africa",2018,English,10.7553/84-2-1762
206,wos,rf araujo,bibliometrics in practice role librarians in their use application,Bibliometrics in practice and the role of librarians in their use and application,em questao,"altmetrics, librarians, online attention",2018,Portuguese,10.19132/1808-5245241.296-302
207,wos,"d torres-salinas, j gorraiz, n robinson-garcia",insoluble problems books what does altmetric have to offer,The insoluble problems of books: what does Altmetric.com have to offer?,aslib journal of information management,"altmetrics, books, databases, library tools, research evaluation, social sciences and humanities",2018,English,10.1108/ajim-06-2018-0152
208,wos,"r serrano-vicente, r melero, e abadal",evaluation spanish institutional repositories based on criteria related to technology procedures content marketing personnel,"Evaluation of Spanish institutional repositories based on criteria related to technology, procedures, content, marketing and personnel",data technologies and applications,"institutional repositories, open access, repository assessment, repository management, research libraries, spain",2018,English,10.1108/dta-10-2017-0074
209,wos,"m erfanmanesh, a abrizah",mapping worldwide research on internet things during 2011 2016,Mapping worldwide research on the Internet of Things during 2011-2016,electronic library,"altmetrics, bibliometric analysis, internet of everything, internet of things, web of things",2018,English,10.1108/el-09-2017-0196
210,wos,ae williams,exploring utility academia edu a swot analysis,Exploring the utility of Academia.edu: a SWOT analysis,information and learning science,"academia.edu, academic social networks, altmetrics, information technology, open access publishing, research networks",2018,English,10.1108/ils-09-2018-0094
211,wos,"d cabrera, d roy, ms chisolm",social media scholarship alternative metrics for academic promotion tenure,Social Media Scholarship and Alternative Metrics for Academic Promotion and Tenure,journal of the american college of radiology,"academia, altmetrics, promotion, social media, tenure",2018,English,10.1016/j.jacr.2017.09.012
212,wos,d stuart,open bibliometrics undiscovered public knowledge,Open bibliometrics and undiscovered public knowledge,online information review,"altmetrics, bibliometrics, open access, open bibliometrics, webometrics",2018,English,10.1108/oir-07-2017-0209
213,wos,"ye ye, jc na",to get cited or get tweeted a study psychological academic articles,To get cited or get tweeted: a study of psychological academic articles,online information review,"altmetrics, citation, scholarly communication, social web, twitter",2018,English,10.1108/oir-08-2017-0235
214,wos,"fh luo, ax sun, m erdt, as ramkumar, yl theng",exploring prestigious citations sourced from top universities in bibliometrics altmetrics a case study in computer science discipline,Exploring prestigious citations sourced from top universities in bibliometrics and altmetrics: a case study in the computer science discipline,scientometrics,"altmetrics, citation analysis, h-index, journal impact factor, university rankings",2018,English,10.1007/s11192-017-2571-z
215,wos,"a correia, h paredes, b fonseca",scientometric analysis scientific publications in cscw,Scientometric analysis of scientific publications in CSCW,scientometrics,"altmetrics, bibliometrics, citation analysis, collaborative computing, cscw, keyword analysis, scientific collaboration, scientometrics",2018,English,10.1007/s11192-017-2562-0
216,wos,"b mukherjee, s subotic, ak chaubey",now for something completely different congruence altmetric attention scores structure between different article groups,And now for something completely different: the congruence of the Altmetric Attention Score's structure between different article groups,scientometrics,"altmetric attention score (aas), altmetrics, citations, measurement congruence, measurement invariance",2018,English,10.1007/s11192-017-2559-8
217,wos,a rizzo,scientific journals social networks altmetric revolution,Scientific Journals and Social Networks: Altmetric Revolution?,mediterranean journal of clinical psychology,,2018,English,
218,wos,"f segado-boj, j martin-quevedo, jj prieto-gutierrez",spanish scientific journals perceptions towards open access open peer review altmetrics,"Spanish scientific journals perceptions towards open Access, open peer review and altmetrics",ibersid revista de sistemas de informacion y documentacion,"altmetrics, open access, open review, scientific journals, search engines, spain",2018,Spanish,
