,doi,title,journal,year,vol,issue,document_type,authors,url,keywords,authors_l,title_l,journal_l,keywords_l
27,10.1186/s12984-019-0610-0,JNER at 15 years: analysis of the state of neuroengineering and rehabilitation,Journal of NeuroEngineering and Rehabilitation,2019,16,1,Article,"Reinkensmeyer, David J.",https://app.dimensions.ai/details/publication/pub.1122707694,1109 Neurosciences; 09 Engineering; 11 Medical and Health Sciences; 0903 Biomedical Engineering,david j. reinkensmeyer,jner at 15 years analysis of the state of neuroengineering and rehabilitation,journal of neuroengineering and rehabilitation,"09 engineering, 0903 biomedical engineering, 11 medical and health sciences, 1109 neurosciences"
29,10.1016/j.joms.2019.11.004,Factors associated with low and high article citations in the oral and maxillofacial surgery literature,Journal of Oral and Maxillofacial Surgery,2019,0,0,Article,"Warren, Victor T.; Borie, K. Tuck; Kreger, Timothy C.; Martin, Kimberly D.; Boyd, Carter J.",https://app.dimensions.ai/details/publication/pub.1122702008,11 Medical and Health Sciences; 1103 Clinical Sciences,"victor t. warren, k. tuck borie, timothy c. kreger, kimberly d. martin, carter j. boyd",factors associated with low and high article citations in the oral and maxillofacial surgery literature,journal of oral and maxillofacial surgery,"11 medical and health sciences, 1103 clinical sciences"
32,10.2174/1573403x15666191113151325,"Social Media as a Means to Disseminate and Advocate Cardiovascular Research: Why, How, and Best Practices.",Current Cardiology Reviews,2019,15,0,Article,"Lee, Giuliana; Choi, Andrew D.; Michos, Erin D.",https://app.dimensions.ai/details/publication/pub.1122602216,1102 Cardiorespiratory Medicine and Haematology; 1117 Public Health and Health Services; 11 Medical and Health Sciences; 1103 Clinical Sciences,"giuliana lee, andrew d. choi, erin d. michos",social media as a means to disseminate and advocate cardiovascular research why how and best practices,current cardiology reviews,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology, 1103 clinical sciences, 1117 public health and health services"
33,10.1080/00016357.2019.1685681,How has the dental literature evolved over time? Analyzing 20 years of journal self-citation rates and impact factors,Acta Odontologica Scandinavica,2019,0,0,Article,"Delli, Konstantina; Livas, Christos; Dijkstra, Pieter U.",https://app.dimensions.ai/details/publication/pub.1122602000,1117 Public Health and Health Services; 11 Medical and Health Sciences,"konstantina delli, christos livas, pieter u. dijkstra",how has the dental literature evolved over time analyzing 20 years of journal self citation rates and impact factors,acta odontologica scandinavica,"11 medical and health sciences, 1117 public health and health services"
34,10.3346/jkms.2019.34.e300,"Scientific Hypotheses: Writing, Promoting, and Predicting Implications",Journal of Korean Medical Science,2019,34,45,Article,"Gasparyan, Armen Yuri; Ayvazyan, Lilit; Mukanova, Ulzhan; Yessirkepov, Marlen; Kitas, George D.",https://app.dimensions.ai/details/publication/pub.1122574818,2203 Philosophy; 22 Philosophy and Religious Studies,"armen yuri gasparyan, lilit ayvazyan, ulzhan mukanova, marlen yessirkepov, george d. kitas",scientific hypotheses writing promoting and predicting implications,journal of korean medical science,"22 philosophy and religious studies, 2203 philosophy"
35,10.1089/ten.tea.2019.0247,An Evolutive and Scientometric Research on Tissue Engineering Reviews,Tissue Engineering Part A,2019,0,0,Article,"Martin-Piedra, Miguel Angel; Santisteban-Espejo, Antonio; Moral-Munoz, Jose Antonio; Campos, Fernando; Chato-Astrain, Jesus; Garcia-Garcia, Oscar Dario; Sanchez-Porras, David; Campos, Antonio",https://app.dimensions.ai/details/publication/pub.1122545915,09 Engineering; 0912 Materials Engineering; 0601 Biochemistry and Cell Biology; 0903 Biomedical Engineering; 06 Biological Sciences,"miguel angel martin-piedra, antonio santisteban-espejo, jose antonio moral-munoz, fernando campos, jesus chato-astrain, oscar dario garcia-garcia, david sanchez-porras, antonio campos",an evolutive and scientometric research on tissue engineering reviews,tissue engineering part a,"06 biological sciences, 0601 biochemistry and cell biology, 09 engineering, 0903 biomedical engineering, 0912 materials engineering"
36,10.1136/rapm-2019-100835,Social media for the regional anesthesiologist: can we use it in place of medical journals?,Regional Anesthesia and Pain Medicine,2019,0,0,Article,"Tran, Bryant Winston; Dhillon, Sabrina Kaur; Overholt, Astrid Regina; Huntoon, Marc",https://app.dimensions.ai/details/publication/pub.1122518771,1117 Public Health and Health Services; 11 Medical and Health Sciences,"bryant winston tran, sabrina kaur dhillon, astrid regina overholt, marc huntoon",social media for the regional anesthesiologist can we use it in place of medical journals,regional anesthesia and pain medicine,"11 medical and health sciences, 1117 public health and health services"
37,10.1016/j.yebeh.2019.106462,Clinicians embracing social media: Potential and pitfalls,Epilepsy & Behavior,2019,0,0,Article,"Sultan, Mustafa; Brown, Elen M.; Thomas, Rhys H.",https://app.dimensions.ai/details/publication/pub.1122506703,1117 Public Health and Health Services; 11 Medical and Health Sciences,"mustafa sultan, elen m. brown, rhys h. thomas",clinicians embracing social media potential and pitfalls,epilepsy behavior,"11 medical and health sciences, 1117 public health and health services"
38,10.1186/s12909-019-1771-z,Impact of experience of psychiatrists and psychiatry residents regarding electronic communication and social networking on internet use patterns: a questionnaire survey for developing e-professionalism in South Korea,BMC Medical Education,2019,19,1,Article,"Lee, Yeon Jung; Hwang, Jaeuk; Lee, Soyoung Irene; Woo, Sung-Il; Hahn, Sang Woo; Koh, Steve",https://app.dimensions.ai/details/publication/pub.1122421756,1117 Public Health and Health Services; 11 Medical and Health Sciences; 1302 Curriculum and Pedagogy; 13 Education,"yeon jung lee, jaeuk hwang, soyoung irene lee, sung-il woo, sang woo hahn, steve koh",impact of experience of psychiatrists and psychiatry residents regarding electronic communication and social networking on internet use patterns a questionnaire survey for developing e professionalism in south korea,bmc medical education,"11 medical and health sciences, 1117 public health and health services, 13 education, 1302 curriculum and pedagogy"
39,10.1136/bmj.l5896,Effect of revealing authors’ conflicts of interests in peer review: randomized controlled trial,The BMJ,2019,367,0,Article,"John, Leslie K; Loewenstein, George; Marder, Andrew; Callaham, Michael L",https://app.dimensions.ai/details/publication/pub.1122371081,1117 Public Health and Health Services; 11 Medical and Health Sciences,"leslie k john, george loewenstein, andrew marder, michael l callaham",effect of revealing authors conflicts of interests in peer review randomized controlled trial,the bmj,"11 medical and health sciences, 1117 public health and health services"
40,10.1080/02763869.2019.1661197,How Medical Students Discover and Use Medical Information Tools,Medical Reference Services Quarterly,2019,38,4,Article,"Hoogland, Margaret A.",https://app.dimensions.ai/details/publication/pub.1122326082,08 Information and Computing Sciences; 0807 Library and Information Studies,margaret a. hoogland,how medical students discover and use medical information tools,medical reference services quarterly,"08 information and computing sciences, 0807 library and information studies"
41,10.1016/j.euf.2019.10.015,Early Online Attention Can Predict Citation Counts for Urological Publications: The #UroSoMe_Score,European Urology Focus,2019,0,0,Article,"Sathianathen, Niranjan J.; Lane, Robert; Condon, Benjamin; Murphy, Declan G.; Lawrentschuk, Nathan; Weight, Christopher J.; Lamb, Alastair D.",https://app.dimensions.ai/details/publication/pub.1122323850,01 Mathematical Sciences; 0104 Statistics,"niranjan j. sathianathen, robert lane, benjamin condon, declan g. murphy, nathan lawrentschuk, christopher j. weight, alastair d. lamb",early online attention can predict citation counts for urological publications the urosome_score,european urology focus,"01 mathematical sciences, 0104 statistics"
42,10.1016/j.ajodo.2019.01.019,Current trends in orthodontic journals listed in Journal Citation Reports. A bibliometric study,American Journal of Orthodontics and Dentofacial Orthopedics,2019,156,5,Article,"Aura-Tormos, Juan Ignacio; García-Sanz, Verónica; Estrela, Filomena; Bellot-Arcís, Carlos; Paredes-Gallardo, Vanessa",https://app.dimensions.ai/details/publication/pub.1122198357,1117 Public Health and Health Services; 11 Medical and Health Sciences,"juan ignacio aura-tormos, veronica garcia-sanz, filomena estrela, carlos bellot-arcis, vanessa paredes-gallardo",current trends in orthodontic journals listed in journal citation reports a bibliometric study,american journal of orthodontics and dentofacial orthopedics,"11 medical and health sciences, 1117 public health and health services"
43,10.3389/fphys.2019.01341,Advances in Nutrition Science and Integrative Physiology: Insights From Controlled Feeding Studies,Frontiers in Physiology,2019,10,0,Article,"Davy, Kevin P; Davy, Brenda M",https://app.dimensions.ai/details/publication/pub.1122144309,1111 Nutrition and Dietetics; 11 Medical and Health Sciences,"kevin p davy, brenda m davy",advances in nutrition science and integrative physiology insights from controlled feeding studies,frontiers in physiology,"11 medical and health sciences, 1111 nutrition and dietetics"
44,10.4330/wjc.v11.i10.217,Social media in cardiology: Reasons to learn how to use it,World Journal of Cardiology,2019,11,10,Article,"Vidal-Perez, Rafael; Gómez de Diego, José Juan; Grapsa, Julia; Fontes-Carvalho, Ricardo; Gonzalez-Juanatey, Jose Ramon",https://app.dimensions.ai/details/publication/pub.1122081469,08 Information and Computing Sciences; 0806 Information Systems,"rafael vidal-perez, jose juan gomez de diego, julia grapsa, ricardo fontes-carvalho, jose ramon gonzalez-juanatey",social media in cardiology reasons to learn how to use it,world journal of cardiology,"08 information and computing sciences, 0806 information systems"
45,10.1016/j.wneu.2019.10.087,Stem-cell research of Parkinson's disease: a bibliometric analysis of research productivity from 1999 to 2018,World Neurosurgery,2019,0,0,Article,"Yang, Chengxian; Wang, Xue; Tang, Xiaoli; Wang, Renzhi; Bao, Xinjie",https://app.dimensions.ai/details/publication/pub.1121998962,1109 Neurosciences; 11 Medical and Health Sciences,"chengxian yang, xue wang, xiaoli tang, renzhi wang, xinjie bao",stem cell research of parkinsons disease a bibliometric analysis of research productivity from 1999 to 2018,world neurosurgery,"11 medical and health sciences, 1109 neurosciences"
46,10.3389/fphar.2019.01228,Importance of Quality Assessment in Clinical Research in Japan,Frontiers in Pharmacology,2019,10,0,Article,"Ueda, Rieko; Nishizaki, Yuji; Homma, Yasuhiro; Sanada, Shoji; Otsuka, Toshiaki; Yasuno, Shinji; Matsuyama, Kotone; Yanagisawa, Naotake; Nagao, Masashi; Fujibayashi, Kazutoshi; Nojiri, Shuko; Seo, Yumiko; Yamada, Natsumi; Devos, Patrick; Daida, Hiroyuki",https://app.dimensions.ai/details/publication/pub.1121884289,11 Medical and Health Sciences; 1103 Clinical Sciences,"rieko ueda, yuji nishizaki, yasuhiro homma, shoji sanada, toshiaki otsuka, shinji yasuno, kotone matsuyama, naotake yanagisawa, masashi nagao, kazutoshi fujibayashi, shuko nojiri, yumiko seo, natsumi yamada, patrick devos, hiroyuki daida",importance of quality assessment in clinical research in japan,frontiers in pharmacology,"11 medical and health sciences, 1103 clinical sciences"
47,10.1371/journal.pone.0223992,"To tweet or not to tweet, that is the question: A randomized trial of Twitter effects in medical education",PLoS ONE,2019,14,10,Article,"Maggio, Lauren A.; Leroux, Todd C.; Artino, Anthony R.",https://app.dimensions.ai/details/publication/pub.1121864960,1117 Public Health and Health Services; 11 Medical and Health Sciences,"lauren a. maggio, todd c. leroux, anthony r. artino",to tweet or not to tweet that is the question a randomized trial of twitter effects in medical education,plos one,"11 medical and health sciences, 1117 public health and health services"
49,10.3390/ani9100783,What Is so Positive about Positive Animal Welfare?—A Critical Review of the Literature,Animals,2019,9,10,Article,"Lawrence, Alistair B.; Vigors, Belinda; Sandøe, Peter",https://app.dimensions.ai/details/publication/pub.1121709843,06 Biological Sciences; 0608 Zoology,"alistair b. lawrence, belinda vigors, peter sandoe",what is so positive about positive animal welfare a critical review of the literature,animals,"06 biological sciences, 0608 zoology"
51,10.1002/lary.28322,An assessment of transparency and reproducibility‐related research practices in otolaryngology,The Laryngoscope,2019,0,0,Article,"Johnson, Austin L.; Torgerson, Trevor; Skinner, Mason; Hamilton, Tom; Tritz, Daniel; Vassar, Matt",https://app.dimensions.ai/details/publication/pub.1121556228,1117 Public Health and Health Services; 11 Medical and Health Sciences,"austin l. johnson, trevor torgerson, mason skinner, tom hamilton, daniel tritz, matt vassar",an assessment of transparency and reproducibilityrelated research practices in otolaryngology,the laryngoscope,"11 medical and health sciences, 1117 public health and health services"
52,10.1016/j.ijmedinf.2019.103984,"Features, Outcomes, and Challenges in Mobile Health Interventions for Patients Living with Chronic Diseases: A Review of Systematic Reviews",International Journal of Medical Informatics,2019,132,0,Article,"Triantafyllidis, Andreas; Kondylakis, Haridimos; Votis, Konstantinos; Tzovaras, Dimitrios; Maglaveras, Nicos; Rahimi, Kazem",https://app.dimensions.ai/details/publication/pub.1121521061,1117 Public Health and Health Services; 11 Medical and Health Sciences,"andreas triantafyllidis, haridimos kondylakis, konstantinos votis, dimitrios tzovaras, nicos maglaveras, kazem rahimi",features outcomes and challenges in mobile health interventions for patients living with chronic diseases a review of systematic reviews,international journal of medical informatics,"11 medical and health sciences, 1117 public health and health services"
53,10.1111/jicd.12462,Highly cited dental articles and their authors: An evaluation of publication and citation characteristics,Journal of Investigative and Clinical Dentistry,2019,10,4,Article,"Yeung, Andy Wai Kan; Ho, Yuh‐Shan",https://app.dimensions.ai/details/publication/pub.1121468740,11 Medical and Health Sciences; 1105 Dentistry,"andy wai kan yeung, yuh-shan ho",highly cited dental articles and their authors an evaluation of publication and citation characteristics,journal of investigative and clinical dentistry,"11 medical and health sciences, 1105 dentistry"
54,10.1056/nejmoa1900408,Ligelizumab for Chronic Spontaneous Urticaria,New England Journal of Medicine,2019,381,14,Article,"Maurer, Marcus; Giménez-Arnau, Ana M; Sussman, Gordon; Metz, Martin; Baker, Diane R; Bauer, Andrea; Bernstein, Jonathan A; Brehler, Randolf; Chu, Chia-Yu; Chung, Wen-Hung; Danilycheva, Inna; Grattan, Clive; Hébert, Jacques; Katelaris, Constance; Makris, Michael; Meshkova, Raisa; Savic, Sinisa; Sinclair, Rodney; Sitz, Karl; Staubach, Petra; Wedi, Bettina; Löffler, Jürgen; Barve, Avantika; Kobayashi, Kenneth; Hua, Eva; Severin, Thomas; Janocha, Reinhold",https://app.dimensions.ai/details/publication/pub.1121452154,11 Medical and Health Sciences; 1103 Clinical Sciences,"marcus maurer, ana m gimenez-arnau, gordon sussman, martin metz, diane r baker, andrea bauer, jonathan a bernstein, randolf brehler, chia-yu chu, wen-hung chung, inna danilycheva, clive grattan, jacques hebert, constance katelaris, michael makris, raisa meshkova, sinisa savic, rodney sinclair, karl sitz, petra staubach, bettina wedi, jurgen loffler, avantika barve, kenneth kobayashi, eva hua, thomas severin, reinhold janocha",ligelizumab for chronic spontaneous urticaria,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences"
55,10.5195/jmla.2019.653,The institutional repository landscape in medical schools and academic health centers: a 2018 snapshot view and analysis,Journal of the Medical Library Association,2019,107,4,Article,"Kipnis, Daniel G; Palmer, Lisa A; Kubilius, Ramune K",https://app.dimensions.ai/details/publication/pub.1121434479,08 Information and Computing Sciences; 0807 Library and Information Studies,"daniel g kipnis, lisa a palmer, ramune k kubilius",the institutional repository landscape in medical schools and academic health centers a 2018 snapshot view and analysis,journal of the medical library association,"08 information and computing sciences, 0807 library and information studies"
56,10.5195/jmla.2019.709,Implementing and assessing a service to demonstrate public impact of faculty research in news and policy sources,Journal of the Medical Library Association,2019,107,4,Article,"Bakker, Caitlin J; McBurney, Jenny; Chew, Katherine V; Aho, Melissa; Reed, Del",https://app.dimensions.ai/details/publication/pub.1121427175,08 Information and Computing Sciences; 0807 Library and Information Studies,"caitlin j bakker, jenny mcburney, katherine v chew, melissa aho, del reed",implementing and assessing a service to demonstrate public impact of faculty research in news and policy sources,journal of the medical library association,"08 information and computing sciences, 0807 library and information studies"
57,10.1111/iej.13226,Altmetric analysis of the contemporary scientific literature in Endodontology,International Endodontic Journal,2019,0,0,Article,"Kolahi, J.; Khazaei, S.; Iranmanesh, P.; Khademi, A.; Nekoofar, M. H.; Dummer, P. M. H.",https://app.dimensions.ai/details/publication/pub.1121386793,11 Medical and Health Sciences; 1105 Dentistry,"j. kolahi, s. khazaei, p. iranmanesh, a. khademi, m. h. nekoofar, p. m. h. dummer",altmetric analysis of the contemporary scientific literature in endodontology,international endodontic journal,"11 medical and health sciences, 1105 dentistry"
58,10.1007/s40368-019-00483-z,Citation classics in paediatric dentistry: a bibliometric study on the 100 most-cited articles,European Archives of Paediatric Dentistry,2019,0,0,Article,"Garcovich, D.; Marques Martinez, L.; Adobes Martin, M.",https://app.dimensions.ai/details/publication/pub.1121332481,11 Medical and Health Sciences; 1105 Dentistry,"d. garcovich, l. marques martinez, m. adobes martin",citation classics in paediatric dentistry a bibliometric study on the 100 most cited articles,european archives of paediatric dentistry,"11 medical and health sciences, 1105 dentistry"
59,10.1016/j.urology.2019.09.014,Examining the Correlation Between Altmetric Score and Citations in the Urology Literature,Urology,2019,134,0,Article,"Nocera, Alexander P.; Boyd, Carter J.; Boudreau, Hunter; Hakim, Ornin; Rais-Bahrami, Soroush",https://app.dimensions.ai/details/publication/pub.1121220302,11 Medical and Health Sciences; 1103 Clinical Sciences,"alexander p. nocera, carter j. boyd, hunter boudreau, ornin hakim, soroush rais-bahrami",examining the correlation between altmetric score and citations in the urology literature,urology,"11 medical and health sciences, 1103 clinical sciences"
60,10.3390/ijerph16183473,BIM-Based Visualization Research in the Construction Industry: A Network Analysis,International Journal of Environmental Research and Public Health,2019,16,18,Article,"Wu, Zezhou; Chen, Changhong; Cai, Yuzhu; Lu, Chen; Wang, Hao; Yu, Tao",https://app.dimensions.ai/details/publication/pub.1121106373,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,"zezhou wu, changhong chen, yuzhu cai, chen lu, hao wang, tao yu",bim based visualization research in the construction industry a network analysis,international journal of environmental research and public health,"08 information and computing sciences, 0801 artificial intelligence and image processing"
61,10.5312/wjo.v10.i9.327,Who should you be following? The top 100 social media influencers in orthopaedic surgery,World Journal of Orthopedics,2019,10,9,Article,"Varady, Nathan H; Chandawarkar, Akash A; Kernkamp, Willem A; Gans, Itai",https://app.dimensions.ai/details/publication/pub.1121036378,11 Medical and Health Sciences; 1103 Clinical Sciences,"nathan h varady, akash a chandawarkar, willem a kernkamp, itai gans",who should you be following the top 100 social media influencers in orthopaedic surgery,world journal of orthopedics,"11 medical and health sciences, 1103 clinical sciences"
62,10.1093/aje/kwz214,The Disillusionment of DOHaD Epidemiology,American Journal of Epidemiology,2019,0,0,Article,"Gilman, Stephen E; Hornig, Mady",https://app.dimensions.ai/details/publication/pub.1121018568,1117 Public Health and Health Services; 11 Medical and Health Sciences,"stephen e gilman, mady hornig",the disillusionment of dohad epidemiology,american journal of epidemiology,"11 medical and health sciences, 1117 public health and health services"
65,10.1186/s12859-019-3056-2,Predicting links between tumor samples and genes using 2-Layered graph based diffusion approach,BMC Bioinformatics,2019,20,1,Article,"Timilsina, Mohan; Yang, Haixuan; Sahay, Ratnesh; Rebholz-Schuhmann, Dietrich",https://app.dimensions.ai/details/publication/pub.1120942963,0604 Genetics; 06 Biological Sciences,"mohan timilsina, haixuan yang, ratnesh sahay, dietrich rebholz-schuhmann",predicting links between tumor samples and genes using 2 layered graph based diffusion approach,bmc bioinformatics,"06 biological sciences, 0604 genetics"
66,10.1016/j.aap.2019.07.019,Mapping the knowledge domain of road safety studies: A scientometric analysis,Accident Analysis & Prevention,2019,132,0,Article,"Zou, Xin; Vu, Hai L.",https://app.dimensions.ai/details/publication/pub.1120870811,17 Psychology and Cognitive Sciences; 1701 Psychology,"xin zou, hai l. vu",mapping the knowledge domain of road safety studies a scientometric analysis,accident analysis prevention,"17 psychology and cognitive sciences, 1701 psychology"
67,10.1056/nejmoa1904143,Antithrombotic Therapy for Atrial Fibrillation with Stable Coronary Disease,New England Journal of Medicine,2019,381,12,Article,"Yasuda, Satoshi; Kaikita, Koichi; Akao, Masaharu; Ako, Junya; Matoba, Tetsuya; Nakamura, Masato; Miyauchi, Katsumi; Hagiwara, Nobuhisa; Kimura, Kazuo; Hirayama, Atsushi; Matsui, Kunihiko; Ogawa, Hisao",https://app.dimensions.ai/details/publication/pub.1120765496,1102 Cardiorespiratory Medicine and Haematology; 11 Medical and Health Sciences,"satoshi yasuda, koichi kaikita, masaharu akao, junya ako, tetsuya matoba, masato nakamura, katsumi miyauchi, nobuhisa hagiwara, kazuo kimura, atsushi hirayama, kunihiko matsui, hisao ogawa",antithrombotic therapy for atrial fibrillation with stable coronary disease,new england journal of medicine,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology"
68,10.1111/febs.15043,Scientific impact and the quest for visibility,The FEBS Journal,2019,286,20,Article,"Madsen, Ralitsa R.",https://app.dimensions.ai/details/publication/pub.1120693155,11 Medical and Health Sciences; 0601 Biochemistry and Cell Biology; 0304 Medicinal and Biomolecular Chemistry; 03 Chemical Sciences; 06 Biological Sciences; 1101 Medical Biochemistry and Metabolomics,ralitsa r. madsen,scientific impact and the quest for visibility,the febs journal,"03 chemical sciences, 0304 medicinal and biomolecular chemistry, 06 biological sciences, 0601 biochemistry and cell biology, 11 medical and health sciences, 1101 medical biochemistry and metabolomics"
69,10.1016/j.carj.2019.06.004,Predictors of Citation Rate for Original Research Studies in the Canadian Association of Radiologists Journal,Canadian Association of Radiologists Journal,2019,70,4,Article,"Alabousi, Mostafa; Zha, Nanxi; Patlas, Michael N.",https://app.dimensions.ai/details/publication/pub.1120688787,01 Mathematical Sciences; 0104 Statistics,"mostafa alabousi, nanxi zha, michael n. patlas",predictors of citation rate for original research studies in the canadian association of radiologists journal,canadian association of radiologists journal,"01 mathematical sciences, 0104 statistics"
71,10.1097/rlu.0000000000002792,Spotlight on the Association of Radioactive Iodine Treatment With Cancer Mortality in Patients With Hyperthyroidism is Keeping the Highest Risk From Antithyroid Drugs in the Blind Spot.,Clinical Nuclear Medicine,2019,44,10,Article,"Tulchinsky, Mark; Brill, A Bertrand",https://app.dimensions.ai/details/publication/pub.1120640380,11 Medical and Health Sciences; 1112 Oncology and Carcinogenesis,"mark tulchinsky, a bertrand brill",spotlight on the association of radioactive iodine treatment with cancer mortality in patients with hyperthyroidism is keeping the highest risk from antithyroid drugs in the blind spot,clinical nuclear medicine,"11 medical and health sciences, 1112 oncology and carcinogenesis"
